"strain1","strain2","pvalue","FDR","gxl"
"BUB/BnJ-control","A/J-fluoxetine",NA,FALSE,TRUE
"MA/MyJ-control","A/J-fluoxetine",NA,FALSE,TRUE
"NOR/LtJ-control","A/J-fluoxetine",NA,FALSE,TRUE
"NOD/ShiLtJ-control","A/J-fluoxetine",NA,FALSE,TRUE
"129S1/SvImJ-control","A/J-fluoxetine",NA,FALSE,TRUE
"FVB/NJ-control","A/J-fluoxetine",NA,FALSE,TRUE
"SWR/J-control","A/J-fluoxetine",NA,FALSE,TRUE
"LG/J-control","A/J-fluoxetine",NA,FALSE,TRUE
"RIIIS/J-control","A/J-fluoxetine",NA,FALSE,TRUE
"SJL/J-control","A/J-fluoxetine",NA,FALSE,TRUE
"C57BLKS/J-control","A/J-fluoxetine",NA,FALSE,TRUE
"SM/J-control","A/J-fluoxetine",NA,FALSE,TRUE
"C58/J-control","A/J-fluoxetine",NA,FALSE,TRUE
"129S1/SvImJ-control","AKR/J-control",NA,FALSE,TRUE
"A/J-control","AKR/J-control",NA,FALSE,TRUE
"DBA/2J-control","AKR/J-fluoxetine",NA,FALSE,TRUE
"C3H/HeJ-control","AKR/J-fluoxetine",NA,FALSE,TRUE
"I/LnJ-control","AKR/J-fluoxetine",NA,FALSE,TRUE
"MRL/MpJ-control","AKR/J-fluoxetine",NA,FALSE,TRUE
"129S1/SvImJ-fluoxetine","AKR/J-fluoxetine",NA,FALSE,TRUE
"A/J-fluoxetine","AKR/J-fluoxetine",NA,FALSE,TRUE
"NZW/LacJ-control","AKR/J-fluoxetine",NA,FALSE,TRUE
"LP/J-control","AKR/J-fluoxetine",NA,FALSE,TRUE
"A/J-control","AKR/J-fluoxetine",NA,FALSE,TRUE
"NZB/BlNJ-control","AKR/J-fluoxetine",NA,FALSE,TRUE
"C57BL/6J-control","AKR/J-fluoxetine",NA,FALSE,TRUE
"P/J-control","AKR/J-fluoxetine",NA,FALSE,TRUE
"CBA/J-control","AKR/J-fluoxetine",NA,FALSE,TRUE
"SM/J-control","AKR/J-fluoxetine",NA,FALSE,TRUE
"BTBR T+ tf/J-control","AKR/J-fluoxetine",NA,FALSE,TRUE
"BUB/BnJ-control","AKR/J-fluoxetine",NA,FALSE,TRUE
"AKR/J-control","AKR/J-fluoxetine",NA,FALSE,TRUE
"C58/J-control","AKR/J-fluoxetine",NA,FALSE,TRUE
"129S1/SvImJ-control","AKR/J-fluoxetine",NA,FALSE,TRUE
"FVB/NJ-control","AKR/J-fluoxetine",NA,FALSE,TRUE
"PL/J-control","AKR/J-fluoxetine",NA,FALSE,TRUE
"BALB/cJ-control","AKR/J-fluoxetine",NA,FALSE,TRUE
"RIIIS/J-control","AKR/J-fluoxetine",NA,FALSE,TRUE
"NOD/ShiLtJ-control","AKR/J-fluoxetine",NA,FALSE,TRUE
"SWR/J-control","AKR/J-fluoxetine",NA,FALSE,TRUE
"NOR/LtJ-control","AKR/J-fluoxetine",NA,FALSE,TRUE
"LG/J-control","AKR/J-fluoxetine",NA,FALSE,TRUE
"SJL/J-control","AKR/J-fluoxetine",NA,FALSE,TRUE
"C57BLKS/J-control","AKR/J-fluoxetine",NA,FALSE,TRUE
"MA/MyJ-control","AKR/J-fluoxetine",NA,FALSE,TRUE
"CE/J-control","AKR/J-fluoxetine",NA,FALSE,TRUE
"C57BR/cdJ-control","AKR/J-fluoxetine",NA,FALSE,TRUE
"129S1/SvImJ-control","BALB/cJ-control",NA,FALSE,TRUE
"A/J-control","BALB/cJ-control",NA,FALSE,TRUE
"AKR/J-control","BALB/cJ-control",NA,FALSE,TRUE
"C3H/HeJ-control","BALB/cJ-fluoxetine",NA,FALSE,TRUE
"CBA/J-control","BALB/cJ-fluoxetine",NA,FALSE,TRUE
"NZB/BlNJ-control","BALB/cJ-fluoxetine",NA,FALSE,TRUE
"A/J-control","BALB/cJ-fluoxetine",NA,FALSE,TRUE
"PL/J-control","BALB/cJ-fluoxetine",NA,FALSE,TRUE
"I/LnJ-control","BALB/cJ-fluoxetine",NA,FALSE,TRUE
"LP/J-control","BALB/cJ-fluoxetine",NA,FALSE,TRUE
"SM/J-control","BALB/cJ-fluoxetine",NA,FALSE,TRUE
"LG/J-control","BALB/cJ-fluoxetine",NA,FALSE,TRUE
"C57BL/6J-control","BALB/cJ-fluoxetine",NA,FALSE,TRUE
"P/J-control","BALB/cJ-fluoxetine",NA,FALSE,TRUE
"DBA/2J-control","BALB/cJ-fluoxetine",NA,FALSE,TRUE
"AKR/J-control","BALB/cJ-fluoxetine",NA,FALSE,TRUE
"SWR/J-control","BALB/cJ-fluoxetine",NA,FALSE,TRUE
"NOD/ShiLtJ-control","BALB/cJ-fluoxetine",NA,FALSE,TRUE
"129S1/SvImJ-control","BALB/cJ-fluoxetine",NA,FALSE,TRUE
"A/J-fluoxetine","BALB/cJ-fluoxetine",NA,FALSE,TRUE
"129S1/SvImJ-fluoxetine","BALB/cJ-fluoxetine",NA,FALSE,TRUE
"RIIIS/J-control","BALB/cJ-fluoxetine",NA,FALSE,TRUE
"AKR/J-fluoxetine","BALB/cJ-fluoxetine",NA,FALSE,TRUE
"FVB/NJ-control","BALB/cJ-fluoxetine",NA,FALSE,TRUE
"C58/J-control","BALB/cJ-fluoxetine",NA,FALSE,TRUE
"MRL/MpJ-control","BALB/cJ-fluoxetine",NA,FALSE,TRUE
"BTBR T+ tf/J-control","BALB/cJ-fluoxetine",NA,FALSE,TRUE
"BUB/BnJ-control","BALB/cJ-fluoxetine",NA,FALSE,TRUE
"NZW/LacJ-control","BALB/cJ-fluoxetine",NA,FALSE,TRUE
"MA/MyJ-control","BALB/cJ-fluoxetine",NA,FALSE,TRUE
"C57BLKS/J-control","BALB/cJ-fluoxetine",NA,FALSE,TRUE
"SJL/J-control","BALB/cJ-fluoxetine",NA,FALSE,TRUE
"BALB/cJ-control","BALB/cJ-fluoxetine",NA,FALSE,TRUE
"C57BR/cdJ-control","BALB/cJ-fluoxetine",NA,FALSE,TRUE
"NOR/LtJ-control","BALB/cJ-fluoxetine",NA,FALSE,TRUE
"CE/J-control","BALB/cJ-fluoxetine",NA,FALSE,TRUE
"129S1/SvImJ-control","BTBR T+ tf/J-control",NA,FALSE,TRUE
"A/J-control","BTBR T+ tf/J-control",NA,FALSE,TRUE
"BALB/cJ-control","BTBR T+ tf/J-control",NA,FALSE,TRUE
"AKR/J-control","BTBR T+ tf/J-control",NA,FALSE,TRUE
"LG/J-control","BTBR T+ tf/J-fluoxetine",NA,FALSE,TRUE
"C3H/HeJ-control","BTBR T+ tf/J-fluoxetine",NA,FALSE,TRUE
"A/J-fluoxetine","BTBR T+ tf/J-fluoxetine",NA,FALSE,TRUE
"I/LnJ-control","BTBR T+ tf/J-fluoxetine",NA,FALSE,TRUE
"PL/J-control","BTBR T+ tf/J-fluoxetine",NA,FALSE,TRUE
"CBA/J-control","BTBR T+ tf/J-fluoxetine",NA,FALSE,TRUE
"DBA/2J-control","BTBR T+ tf/J-fluoxetine",NA,FALSE,TRUE
"A/J-control","BTBR T+ tf/J-fluoxetine",NA,FALSE,TRUE
"C57BR/cdJ-control","BTBR T+ tf/J-fluoxetine",NA,FALSE,TRUE
"LP/J-control","BTBR T+ tf/J-fluoxetine",NA,FALSE,TRUE
"FVB/NJ-control","BTBR T+ tf/J-fluoxetine",NA,FALSE,TRUE
"129S1/SvImJ-control","BTBR T+ tf/J-fluoxetine",NA,FALSE,TRUE
"MRL/MpJ-control","BTBR T+ tf/J-fluoxetine",NA,FALSE,TRUE
"P/J-control","BTBR T+ tf/J-fluoxetine",NA,FALSE,TRUE
"C57BL/6J-control","BTBR T+ tf/J-fluoxetine",NA,FALSE,TRUE
"NZB/BlNJ-control","BTBR T+ tf/J-fluoxetine",NA,FALSE,TRUE
"BALB/cJ-control","BTBR T+ tf/J-fluoxetine",NA,FALSE,TRUE
"SWR/J-control","BTBR T+ tf/J-fluoxetine",NA,FALSE,TRUE
"BALB/cJ-fluoxetine","BTBR T+ tf/J-fluoxetine",NA,FALSE,TRUE
"AKR/J-control","BTBR T+ tf/J-fluoxetine",NA,FALSE,TRUE
"CE/J-control","BTBR T+ tf/J-fluoxetine",NA,FALSE,TRUE
"NOR/LtJ-control","BTBR T+ tf/J-fluoxetine",NA,FALSE,TRUE
"129S1/SvImJ-fluoxetine","BTBR T+ tf/J-fluoxetine",NA,FALSE,TRUE
"C57BLKS/J-control","BTBR T+ tf/J-fluoxetine",NA,FALSE,TRUE
"NOD/ShiLtJ-control","BTBR T+ tf/J-fluoxetine",NA,FALSE,TRUE
"NZW/LacJ-control","BTBR T+ tf/J-fluoxetine",NA,FALSE,TRUE
"AKR/J-fluoxetine","BTBR T+ tf/J-fluoxetine",NA,FALSE,TRUE
"BUB/BnJ-control","BTBR T+ tf/J-fluoxetine",NA,FALSE,TRUE
"C58/J-control","BTBR T+ tf/J-fluoxetine",NA,FALSE,TRUE
"MA/MyJ-control","BTBR T+ tf/J-fluoxetine",NA,FALSE,TRUE
"BTBR T+ tf/J-control","BTBR T+ tf/J-fluoxetine",NA,FALSE,TRUE
"RIIIS/J-control","BTBR T+ tf/J-fluoxetine",NA,FALSE,TRUE
"SM/J-control","BTBR T+ tf/J-fluoxetine",NA,FALSE,TRUE
"SJL/J-control","BTBR T+ tf/J-fluoxetine",NA,FALSE,TRUE
"A/J-control","BUB/BnJ-control",NA,FALSE,TRUE
"AKR/J-control","BUB/BnJ-control",NA,FALSE,TRUE
"129S1/SvImJ-control","BUB/BnJ-control",NA,FALSE,TRUE
"BTBR T+ tf/J-control","BUB/BnJ-control",NA,FALSE,TRUE
"BALB/cJ-control","BUB/BnJ-control",NA,FALSE,TRUE
"MRL/MpJ-control","BUB/BnJ-fluoxetine",NA,FALSE,TRUE
"CBA/J-control","BUB/BnJ-fluoxetine",NA,FALSE,TRUE
"I/LnJ-control","BUB/BnJ-fluoxetine",NA,FALSE,TRUE
"SWR/J-control","BUB/BnJ-fluoxetine",NA,FALSE,TRUE
"BALB/cJ-control","BUB/BnJ-fluoxetine",NA,FALSE,TRUE
"A/J-control","BUB/BnJ-fluoxetine",NA,FALSE,TRUE
"P/J-control","BUB/BnJ-fluoxetine",NA,FALSE,TRUE
"C3H/HeJ-control","BUB/BnJ-fluoxetine",NA,FALSE,TRUE
"DBA/2J-control","BUB/BnJ-fluoxetine",NA,FALSE,TRUE
"C57BR/cdJ-control","BUB/BnJ-fluoxetine",NA,FALSE,TRUE
"BTBR T+ tf/J-control","BUB/BnJ-fluoxetine",NA,FALSE,TRUE
"PL/J-control","BUB/BnJ-fluoxetine",NA,FALSE,TRUE
"BALB/cJ-fluoxetine","BUB/BnJ-fluoxetine",NA,FALSE,TRUE
"SJL/J-control","BUB/BnJ-fluoxetine",NA,FALSE,TRUE
"NOR/LtJ-control","BUB/BnJ-fluoxetine",NA,FALSE,TRUE
"SM/J-control","BUB/BnJ-fluoxetine",NA,FALSE,TRUE
"AKR/J-control","BUB/BnJ-fluoxetine",NA,FALSE,TRUE
"LP/J-control","BUB/BnJ-fluoxetine",NA,FALSE,TRUE
"A/J-fluoxetine","BUB/BnJ-fluoxetine",NA,FALSE,TRUE
"NOD/ShiLtJ-control","BUB/BnJ-fluoxetine",NA,FALSE,TRUE
"BTBR T+ tf/J-fluoxetine","BUB/BnJ-fluoxetine",NA,FALSE,TRUE
"C58/J-control","BUB/BnJ-fluoxetine",NA,FALSE,TRUE
"FVB/NJ-control","BUB/BnJ-fluoxetine",NA,FALSE,TRUE
"NZW/LacJ-control","BUB/BnJ-fluoxetine",NA,FALSE,TRUE
"AKR/J-fluoxetine","BUB/BnJ-fluoxetine",NA,FALSE,TRUE
"C57BL/6J-control","BUB/BnJ-fluoxetine",NA,FALSE,TRUE
"129S1/SvImJ-control","BUB/BnJ-fluoxetine",NA,FALSE,TRUE
"NZB/BlNJ-control","BUB/BnJ-fluoxetine",NA,FALSE,TRUE
"129S1/SvImJ-fluoxetine","BUB/BnJ-fluoxetine",NA,FALSE,TRUE
"BUB/BnJ-control","BUB/BnJ-fluoxetine",NA,FALSE,TRUE
"MA/MyJ-control","BUB/BnJ-fluoxetine",NA,FALSE,TRUE
"CE/J-control","BUB/BnJ-fluoxetine",NA,FALSE,TRUE
"RIIIS/J-control","BUB/BnJ-fluoxetine",NA,FALSE,TRUE
"LG/J-control","BUB/BnJ-fluoxetine",NA,FALSE,TRUE
"C57BLKS/J-control","BUB/BnJ-fluoxetine",NA,FALSE,TRUE
"BTBR T+ tf/J-control","C3H/HeJ-control",NA,FALSE,TRUE
"BALB/cJ-control","C3H/HeJ-control",NA,FALSE,TRUE
"A/J-control","C3H/HeJ-control",NA,FALSE,TRUE
"129S1/SvImJ-control","C3H/HeJ-control",NA,FALSE,TRUE
"AKR/J-control","C3H/HeJ-control",NA,FALSE,TRUE
"BUB/BnJ-control","C3H/HeJ-control",NA,FALSE,TRUE
"MRL/MpJ-control","C3H/HeJ-fluoxetine",NA,FALSE,TRUE
"SWR/J-control","C3H/HeJ-fluoxetine",NA,FALSE,TRUE
"A/J-control","C3H/HeJ-fluoxetine",NA,FALSE,TRUE
"P/J-control","C3H/HeJ-fluoxetine",NA,FALSE,TRUE
"FVB/NJ-control","C3H/HeJ-fluoxetine",NA,FALSE,TRUE
"NOD/ShiLtJ-control","C3H/HeJ-fluoxetine",NA,FALSE,TRUE
"BTBR T+ tf/J-control","C3H/HeJ-fluoxetine",NA,FALSE,TRUE
"NOR/LtJ-control","C3H/HeJ-fluoxetine",NA,FALSE,TRUE
"BALB/cJ-control","C3H/HeJ-fluoxetine",NA,FALSE,TRUE
"BUB/BnJ-control","C3H/HeJ-fluoxetine",NA,FALSE,TRUE
"DBA/2J-control","C3H/HeJ-fluoxetine",NA,FALSE,TRUE
"A/J-fluoxetine","C3H/HeJ-fluoxetine",NA,FALSE,TRUE
"C58/J-control","C3H/HeJ-fluoxetine",NA,FALSE,TRUE
"C3H/HeJ-control","C3H/HeJ-fluoxetine",NA,FALSE,TRUE
"CBA/J-control","C3H/HeJ-fluoxetine",NA,FALSE,TRUE
"AKR/J-control","C3H/HeJ-fluoxetine",NA,FALSE,TRUE
"CE/J-control","C3H/HeJ-fluoxetine",NA,FALSE,TRUE
"PL/J-control","C3H/HeJ-fluoxetine",NA,FALSE,TRUE
"C57BL/6J-control","C3H/HeJ-fluoxetine",NA,FALSE,TRUE
"NZB/BlNJ-control","C3H/HeJ-fluoxetine",NA,FALSE,TRUE
"NZW/LacJ-control","C3H/HeJ-fluoxetine",NA,FALSE,TRUE
"MA/MyJ-control","C3H/HeJ-fluoxetine",NA,FALSE,TRUE
"AKR/J-fluoxetine","C3H/HeJ-fluoxetine",NA,FALSE,TRUE
"BALB/cJ-fluoxetine","C3H/HeJ-fluoxetine",NA,FALSE,TRUE
"SJL/J-control","C3H/HeJ-fluoxetine",NA,FALSE,TRUE
"BUB/BnJ-fluoxetine","C3H/HeJ-fluoxetine",NA,FALSE,TRUE
"LG/J-control","C3H/HeJ-fluoxetine",NA,FALSE,TRUE
"BTBR T+ tf/J-fluoxetine","C3H/HeJ-fluoxetine",NA,FALSE,TRUE
"LP/J-control","C3H/HeJ-fluoxetine",NA,FALSE,TRUE
"C57BR/cdJ-control","C3H/HeJ-fluoxetine",NA,FALSE,TRUE
"I/LnJ-control","C3H/HeJ-fluoxetine",NA,FALSE,TRUE
"RIIIS/J-control","C3H/HeJ-fluoxetine",NA,FALSE,TRUE
"129S1/SvImJ-control","C3H/HeJ-fluoxetine",NA,FALSE,TRUE
"C57BLKS/J-control","C3H/HeJ-fluoxetine",NA,FALSE,TRUE
"SM/J-control","C3H/HeJ-fluoxetine",NA,FALSE,TRUE
"129S1/SvImJ-fluoxetine","C3H/HeJ-fluoxetine",NA,FALSE,TRUE
"BALB/cJ-control","C57BL/6J-control",NA,FALSE,TRUE
"AKR/J-control","C57BL/6J-control",NA,FALSE,TRUE
"BTBR T+ tf/J-control","C57BL/6J-control",NA,FALSE,TRUE
"A/J-control","C57BL/6J-control",NA,FALSE,TRUE
"BUB/BnJ-control","C57BL/6J-control",NA,FALSE,TRUE
"C3H/HeJ-control","C57BL/6J-control",NA,FALSE,TRUE
"129S1/SvImJ-control","C57BL/6J-control",NA,FALSE,TRUE
"NOD/ShiLtJ-control","C57BL/6J-fluoxetine",NA,FALSE,TRUE
"LG/J-control","C57BL/6J-fluoxetine",NA,FALSE,TRUE
"MA/MyJ-control","C57BL/6J-fluoxetine",NA,FALSE,TRUE
"LP/J-control","C57BL/6J-fluoxetine",NA,FALSE,TRUE
"BALB/cJ-control","C57BL/6J-fluoxetine",NA,FALSE,TRUE
"BUB/BnJ-control","C57BL/6J-fluoxetine",NA,FALSE,TRUE
"C3H/HeJ-control","C57BL/6J-fluoxetine",NA,FALSE,TRUE
"FVB/NJ-control","C57BL/6J-fluoxetine",NA,FALSE,TRUE
"CBA/J-control","C57BL/6J-fluoxetine",NA,FALSE,TRUE
"DBA/2J-control","C57BL/6J-fluoxetine",NA,FALSE,TRUE
"SM/J-control","C57BL/6J-fluoxetine",NA,FALSE,TRUE
"BTBR T+ tf/J-control","C57BL/6J-fluoxetine",NA,FALSE,TRUE
"C57BR/cdJ-control","C57BL/6J-fluoxetine",NA,FALSE,TRUE
"CE/J-control","C57BL/6J-fluoxetine",NA,FALSE,TRUE
"SJL/J-control","C57BL/6J-fluoxetine",NA,FALSE,TRUE
"NZB/BlNJ-control","C57BL/6J-fluoxetine",NA,FALSE,TRUE
"BTBR T+ tf/J-fluoxetine","C57BL/6J-fluoxetine",NA,FALSE,TRUE
"SWR/J-control","C57BL/6J-fluoxetine",NA,FALSE,TRUE
"C57BL/6J-control","C57BL/6J-fluoxetine",NA,FALSE,TRUE
"AKR/J-fluoxetine","C57BL/6J-fluoxetine",NA,FALSE,TRUE
"AKR/J-control","C57BL/6J-fluoxetine",NA,FALSE,TRUE
"A/J-control","C57BL/6J-fluoxetine",NA,FALSE,TRUE
"BALB/cJ-fluoxetine","C57BL/6J-fluoxetine",NA,FALSE,TRUE
"I/LnJ-control","C57BL/6J-fluoxetine",NA,FALSE,TRUE
"NZW/LacJ-control","C57BL/6J-fluoxetine",NA,FALSE,TRUE
"P/J-control","C57BL/6J-fluoxetine",NA,FALSE,TRUE
"MRL/MpJ-control","C57BL/6J-fluoxetine",NA,FALSE,TRUE
"RIIIS/J-control","C57BL/6J-fluoxetine",NA,FALSE,TRUE
"C57BLKS/J-control","C57BL/6J-fluoxetine",NA,FALSE,TRUE
"129S1/SvImJ-control","C57BL/6J-fluoxetine",NA,FALSE,TRUE
"C58/J-control","C57BL/6J-fluoxetine",NA,FALSE,TRUE
"NOR/LtJ-control","C57BL/6J-fluoxetine",NA,FALSE,TRUE
"BUB/BnJ-fluoxetine","C57BL/6J-fluoxetine",NA,FALSE,TRUE
"129S1/SvImJ-fluoxetine","C57BL/6J-fluoxetine",NA,FALSE,TRUE
"C3H/HeJ-fluoxetine","C57BL/6J-fluoxetine",NA,FALSE,TRUE
"A/J-fluoxetine","C57BL/6J-fluoxetine",NA,FALSE,TRUE
"PL/J-control","C57BL/6J-fluoxetine",NA,FALSE,TRUE
"BALB/cJ-control","C57BLKS/J-control",NA,FALSE,TRUE
"BTBR T+ tf/J-control","C57BLKS/J-control",NA,FALSE,TRUE
"129S1/SvImJ-control","C57BLKS/J-control",NA,FALSE,TRUE
"AKR/J-control","C57BLKS/J-control",NA,FALSE,TRUE
"C57BL/6J-control","C57BLKS/J-control",NA,FALSE,TRUE
"A/J-control","C57BLKS/J-control",NA,FALSE,TRUE
"BUB/BnJ-control","C57BLKS/J-control",NA,FALSE,TRUE
"C3H/HeJ-control","C57BLKS/J-control",NA,FALSE,TRUE
"MRL/MpJ-control","C57BLKS/J-fluoxetine",NA,FALSE,TRUE
"NOD/ShiLtJ-control","C57BLKS/J-fluoxetine",NA,FALSE,TRUE
"MA/MyJ-control","C57BLKS/J-fluoxetine",NA,FALSE,TRUE
"CBA/J-control","C57BLKS/J-fluoxetine",NA,FALSE,TRUE
"CE/J-control","C57BLKS/J-fluoxetine",NA,FALSE,TRUE
"NZW/LacJ-control","C57BLKS/J-fluoxetine",NA,FALSE,TRUE
"AKR/J-control","C57BLKS/J-fluoxetine",NA,FALSE,TRUE
"DBA/2J-control","C57BLKS/J-fluoxetine",NA,FALSE,TRUE
"SJL/J-control","C57BLKS/J-fluoxetine",NA,FALSE,TRUE
"AKR/J-fluoxetine","C57BLKS/J-fluoxetine",NA,FALSE,TRUE
"NZB/BlNJ-control","C57BLKS/J-fluoxetine",NA,FALSE,TRUE
"LG/J-control","C57BLKS/J-fluoxetine",NA,FALSE,TRUE
"A/J-control","C57BLKS/J-fluoxetine",NA,FALSE,TRUE
"C57BR/cdJ-control","C57BLKS/J-fluoxetine",NA,FALSE,TRUE
"RIIIS/J-control","C57BLKS/J-fluoxetine",NA,FALSE,TRUE
"SWR/J-control","C57BLKS/J-fluoxetine",NA,FALSE,TRUE
"FVB/NJ-control","C57BLKS/J-fluoxetine",NA,FALSE,TRUE
"BTBR T+ tf/J-fluoxetine","C57BLKS/J-fluoxetine",NA,FALSE,TRUE
"C57BL/6J-control","C57BLKS/J-fluoxetine",NA,FALSE,TRUE
"C57BL/6J-fluoxetine","C57BLKS/J-fluoxetine",NA,FALSE,TRUE
"C3H/HeJ-control","C57BLKS/J-fluoxetine",NA,FALSE,TRUE
"SM/J-control","C57BLKS/J-fluoxetine",NA,FALSE,TRUE
"PL/J-control","C57BLKS/J-fluoxetine",NA,FALSE,TRUE
"C57BLKS/J-control","C57BLKS/J-fluoxetine",NA,FALSE,TRUE
"BALB/cJ-control","C57BLKS/J-fluoxetine",NA,FALSE,TRUE
"BTBR T+ tf/J-control","C57BLKS/J-fluoxetine",NA,FALSE,TRUE
"P/J-control","C57BLKS/J-fluoxetine",NA,FALSE,TRUE
"BUB/BnJ-control","C57BLKS/J-fluoxetine",NA,FALSE,TRUE
"LP/J-control","C57BLKS/J-fluoxetine",NA,FALSE,TRUE
"A/J-fluoxetine","C57BLKS/J-fluoxetine",NA,FALSE,TRUE
"C3H/HeJ-fluoxetine","C57BLKS/J-fluoxetine",NA,FALSE,TRUE
"BALB/cJ-fluoxetine","C57BLKS/J-fluoxetine",NA,FALSE,TRUE
"NOR/LtJ-control","C57BLKS/J-fluoxetine",NA,FALSE,TRUE
"I/LnJ-control","C57BLKS/J-fluoxetine",NA,FALSE,TRUE
"129S1/SvImJ-control","C57BLKS/J-fluoxetine",NA,FALSE,TRUE
"C58/J-control","C57BLKS/J-fluoxetine",NA,FALSE,TRUE
"BUB/BnJ-fluoxetine","C57BLKS/J-fluoxetine",NA,FALSE,TRUE
"129S1/SvImJ-fluoxetine","C57BLKS/J-fluoxetine",NA,FALSE,TRUE
"BTBR T+ tf/J-control","C57BR/cdJ-control",NA,FALSE,TRUE
"129S1/SvImJ-control","C57BR/cdJ-control",NA,FALSE,TRUE
"C57BLKS/J-control","C57BR/cdJ-control",NA,FALSE,TRUE
"A/J-control","C57BR/cdJ-control",NA,FALSE,TRUE
"BALB/cJ-control","C57BR/cdJ-control",NA,FALSE,TRUE
"C57BL/6J-control","C57BR/cdJ-control",NA,FALSE,TRUE
"BUB/BnJ-control","C57BR/cdJ-control",NA,FALSE,TRUE
"C3H/HeJ-control","C57BR/cdJ-control",NA,FALSE,TRUE
"AKR/J-control","C57BR/cdJ-control",NA,FALSE,TRUE
"MRL/MpJ-control","C57BR/cdJ-fluoxetine",NA,FALSE,TRUE
"C3H/HeJ-control","C57BR/cdJ-fluoxetine",NA,FALSE,TRUE
"BTBR T+ tf/J-fluoxetine","C57BR/cdJ-fluoxetine",NA,FALSE,TRUE
"CBA/J-control","C57BR/cdJ-fluoxetine",NA,FALSE,TRUE
"C57BR/cdJ-control","C57BR/cdJ-fluoxetine",NA,FALSE,TRUE
"FVB/NJ-control","C57BR/cdJ-fluoxetine",NA,FALSE,TRUE
"PL/J-control","C57BR/cdJ-fluoxetine",NA,FALSE,TRUE
