"","strain","FEMALES_body_weight","group"
"60","BALB/cByJ",NA,"control"
"61","BALB/cByJ",NA,"control"
"62","BALB/cByJ",NA,"control"
"63","BALB/cByJ",NA,"control"
"64","BALB/cByJ",NA,"control"
"65","BALB/cByJ",20.4,"control"
"66","BALB/cByJ",22.5,"control"
"67","BALB/cByJ",22.3,"control"
"68","BALB/cByJ",24.5,"control"
"69","BALB/cByJ",23,"control"
"70","BALB/cByJ",23.8,"control"
"71","BALB/cByJ",21.3,"control"
"72","BALB/cByJ",20.6,"control"
"73","BALB/cByJ",21.3,"control"
"74","BALB/cByJ",NA,"control"
"75","BALB/cByJ",NA,"control"
"76","BALB/cByJ",NA,"control"
"77","BALB/cByJ",NA,"control"
"78","BTBR T<+> Itpr3<tf>/J",NA,"control"
"79","BTBR T<+> Itpr3<tf>/J",NA,"control"
"80","BTBR T<+> Itpr3<tf>/J",23.9,"control"
"81","BTBR T<+> Itpr3<tf>/J",23.8,"control"
"82","BTBR T<+> Itpr3<tf>/J",23.2,"control"
"83","BTBR T<+> Itpr3<tf>/J",24,"control"
"84","BTBR T<+> Itpr3<tf>/J",25.1,"control"
"85","BTBR T<+> Itpr3<tf>/J",24,"control"
"86","BTBR T<+> Itpr3<tf>/J",26.9,"control"
"87","BTBR T<+> Itpr3<tf>/J",23.9,"control"
"88","BTBR T<+> Itpr3<tf>/J",25.7,"control"
"89","BTBR T<+> Itpr3<tf>/J",NA,"control"
"90","BTBR T<+> Itpr3<tf>/J",NA,"control"
"91","BTBR T<+> Itpr3<tf>/J",NA,"control"
"92","BTBR T<+> Itpr3<tf>/J",NA,"control"
"93","BTBR T<+> Itpr3<tf>/J",NA,"control"
"94","BTBR T<+> Itpr3<tf>/J",NA,"control"
"95","BTBR T<+> Itpr3<tf>/J",26.6,"control"
"96","BTBR T<+> Itpr3<tf>/J",NA,"control"
"97","BTBR T<+> Itpr3<tf>/J",NA,"control"
"98","BUB/BnJ",20.7,"control"
"99","BUB/BnJ",22.2,"control"
"100","BUB/BnJ",22.3,"control"
"101","BUB/BnJ",23.6,"control"
"102","BUB/BnJ",23.6,"control"
"103","BUB/BnJ",24.1,"control"
"104","BUB/BnJ",26.3,"control"
"105","BUB/BnJ",23.5,"control"
"106","BUB/BnJ",NA,"control"
"107","BUB/BnJ",NA,"control"
"108","BUB/BnJ",NA,"control"
"109","BUB/BnJ",NA,"control"
"110","BUB/BnJ",NA,"control"
"111","BUB/BnJ",NA,"control"
"112","BUB/BnJ",NA,"control"
"113","BUB/BnJ",NA,"control"
"114","BUB/BnJ",NA,"control"
"115","BUB/BnJ",21.6,"control"
"116","BUB/BnJ",20.6,"control"
"117","C3H/HeJ",21.3,"control"
"118","C3H/HeJ",NA,"control"
"119","C3H/HeJ",NA,"control"
"120","C3H/HeJ",NA,"control"
"121","C3H/HeJ",NA,"control"
"122","C3H/HeJ",NA,"control"
"123","C3H/HeJ",NA,"control"
"124","C3H/HeJ",19.9,"control"
"125","C3H/HeJ",18.1,"control"
"126","C3H/HeJ",22,"control"
"127","C3H/HeJ",20.1,"control"
"128","C3H/HeJ",16,"control"
"129","C3H/HeJ",20.8,"control"
"130","C3H/HeJ",21.4,"control"
"131","C3H/HeJ",NA,"control"
"132","C3H/HeJ",23,"control"
"133","C3H/HeJ",20.3,"control"
"134","C3H/HeJ",NA,"control"
"135","C3H/HeJ",NA,"control"
"136","C3H/HeJ",NA,"control"
"137","C57BL/10J",19.8,"control"
"138","C57BL/10J",20.6,"control"
"139","C57BL/10J",19.7,"control"
"140","C57BL/10J",19.3,"control"
"141","C57BL/10J",17.1,"control"
"142","C57BL/10J",20.2,"control"
"143","C57BL/10J",17.7,"control"
"144","C57BL/10J",19.3,"control"
"145","C57BL/10J",18.1,"control"
"146","C57BL/10J",NA,"control"
"147","C57BL/10J",NA,"control"
"148","C57BL/10J",NA,"control"
"149","C57BL/10J",NA,"control"
"150","C57BL/10J",NA,"control"
"151","C57BL/10J",NA,"control"
"152","C57BL/10J",NA,"control"
"153","C57BL/10J",NA,"control"
"154","C57BL/10J",NA,"control"
"155","C57BL/10J",NA,"control"
"156","C57BL/10J",19.1,"control"
"157","C57BL/6J",28.2,"control"
"158","C57BL/6J",21.2,"control"
"159","C57BL/6J",19,"control"
"160","C57BL/6J",19.4,"control"
"161","C57BL/6J",18.2,"control"
"162","C57BL/6J",18.1,"control"
"163","C57BL/6J",17.2,"control"
"164","C57BL/6J",19.3,"control"
"165","C57BL/6J",20.8,"control"
"166","C57BL/6J",NA,"control"
"167","C57BL/6J",NA,"control"
"168","C57BL/6J",NA,"control"
"169","C57BL/6J",NA,"control"
"170","C57BL/6J",NA,"control"
"171","C57BL/6J",NA,"control"
"172","C57BL/6J",NA,"control"
"173","C57BL/6J",NA,"control"
"174","C57BL/6J",NA,"control"
"175","C57BLKS/J",NA,"control"
"176","C57BLKS/J",20.3,"control"
"177","C57BLKS/J",19.5,"control"
"178","C57BLKS/J",18.4,"control"
"179","C57BLKS/J",19.1,"control"
"180","C57BLKS/J",18.4,"control"
"181","C57BLKS/J",17.5,"control"
"182","C57BLKS/J",19.6,"control"
"183","C57BLKS/J",18.8,"control"
"184","C57BLKS/J",19.3,"control"
"185","C57BLKS/J",18.8,"control"
"186","C57BLKS/J",NA,"control"
"187","C57BLKS/J",NA,"control"
"188","C57BLKS/J",NA,"control"
"189","C57BLKS/J",NA,"control"
"190","C57BLKS/J",NA,"control"
"191","C57BLKS/J",NA,"control"
"192","C57BLKS/J",NA,"control"
"193","C57BR/cdJ",19.5,"control"
"194","C57BR/cdJ",19.3,"control"
"195","C57BR/cdJ",19.5,"control"
"196","C57BR/cdJ",20.9,"control"
"197","C57BR/cdJ",NA,"control"
"198","C57BR/cdJ",NA,"control"
"199","C57BR/cdJ",20.3,"control"
"200","C57BR/cdJ",20.1,"control"
"201","C57BR/cdJ",22.5,"control"
"202","C57BR/cdJ",20.7,"control"
"203","C57BR/cdJ",NA,"control"
"204","C57BR/cdJ",20.6,"control"
"205","C57BR/cdJ",19.3,"control"
"206","C57BR/cdJ",20.6,"control"
"207","C57BR/cdJ",20.9,"control"
"208","C57BR/cdJ",NA,"control"
"209","C57BR/cdJ",NA,"control"
"210","C57BR/cdJ",NA,"control"
"211","C57BR/cdJ",20.9,"control"
"212","C57BR/cdJ",NA,"control"
"213","C57BR/cdJ",NA,"control"
"214","C57BR/cdJ",NA,"control"
"215","C57BR/cdJ",NA,"control"
"216","C57BR/cdJ",NA,"control"
"217","C57BR/cdJ",NA,"control"
"218","C57BR/cdJ",NA,"control"
"219","C57BR/cdJ",19,"control"
"220","C57BR/cdJ",17.6,"control"
"221","C57L/J",18.6,"control"
"222","C57L/J",NA,"control"
"223","C57L/J",NA,"control"
"224","C57L/J",NA,"control"
"225","C57L/J",NA,"control"
"226","C57L/J",NA,"control"
"227","C57L/J",NA,"control"
"228","C57L/J",NA,"control"
"229","C57L/J",NA,"control"
"230","C57L/J",NA,"control"
"231","C57L/J",NA,"control"
"232","C57L/J",21.2,"control"
"233","C57L/J",20.6,"control"
"234","C57L/J",21.3,"control"
"235","C57L/J",19.3,"control"
"236","C57L/J",20.9,"control"
"237","C57L/J",18.4,"control"
"238","C57L/J",20.4,"control"
"239","C57L/J",26.4,"control"
"240","C57L/J",20.5,"control"
"241","C58/J",NA,"control"
"242","C58/J",NA,"control"
"243","C58/J",NA,"control"
"244","C58/J",NA,"control"
"245","C58/J",17.3,"control"
"246","C58/J",15.9,"control"
"247","C58/J",18,"control"
"248","C58/J",NA,"control"
"249","C58/J",NA,"control"
"250","C58/J",20.9,"control"
"251","C58/J",21.5,"control"
"252","C58/J",17.4,"control"
"253","C58/J",NA,"control"
"254","C58/J",NA,"control"
"255","C58/J",NA,"control"
"256","C58/J",17,"control"
"257","C58/J",19.8,"control"
"258","C58/J",21.6,"control"
"259","CAST/EiJ",NA,"control"
"260","CAST/EiJ",NA,"control"
"261","CAST/EiJ",NA,"control"
"262","CAST/EiJ",11.5,"control"
"263","CAST/EiJ",16,"control"
"264","CAST/EiJ",12.5,"control"
"265","CAST/EiJ",12.1,"control"
"266","CAST/EiJ",11.5,"control"
"267","CAST/EiJ",11.6,"control"
"268","CAST/EiJ",11,"control"
"269","CAST/EiJ",12,"control"
"270","CAST/EiJ",12.5,"control"
"271","CAST/EiJ",11.5,"control"
"272","CAST/EiJ",11.7,"control"
"273","CAST/EiJ",NA,"control"
"274","CAST/EiJ",NA,"control"
"275","CAST/EiJ",NA,"control"
"276","CAST/EiJ",NA,"control"
"277","CAST/EiJ",NA,"control"
"278","CAST/EiJ",NA,"control"
"279","CAST/EiJ",NA,"control"
"280","CBA/J",23.3,"control"
"281","CBA/J",22,"control"
"282","CBA/J",23.7,"control"
"283","CBA/J",20.6,"control"
"284","CBA/J",21,"control"
"285","CBA/J",24.7,"control"
"286","CBA/J",NA,"control"
"287","CBA/J",NA,"control"
"288","CBA/J",NA,"control"
"289","CBA/J",NA,"control"
"290","CBA/J",NA,"control"
"291","CBA/J",NA,"control"
"292","CBA/J",NA,"control"
"293","CBA/J",NA,"control"
"294","CBA/J",NA,"control"
"295","CBA/J",NA,"control"
"296","CBA/J",22,"control"
"297","CBA/J",21.5,"control"
"298","CBA/J",19,"control"
"299","CBA/J",20.2,"control"
"300","CE/J",19.8,"control"
"301","CE/J",NA,"control"
"302","CE/J",NA,"control"
"303","CE/J",NA,"control"
"304","CE/J",NA,"control"
"305","CE/J",NA,"control"
"306","CE/J",NA,"control"
"307","CE/J",NA,"control"
"308","CE/J",NA,"control"
"309","CE/J",20.2,"control"
"310","CE/J",17.9,"control"
"311","CE/J",26.8,"control"
"312","CE/J",20.6,"control"
"313","CE/J",29.7,"control"
"314","CE/J",23.7,"control"
"315","CE/J",24.6,"control"
"316","CE/J",23.4,"control"
"317","CZECHII/EiJ",NA,"control"
"318","CZECHII/EiJ",NA,"control"
"319","CZECHII/EiJ",10.9,"control"
"320","CZECHII/EiJ",10.1,"control"
"321","CZECHII/EiJ",10.5,"control"
"322","CZECHII/EiJ",9.6,"control"
"323","CZECHII/EiJ",14.2,"control"
"324","CZECHII/EiJ",9.4,"control"
"325","CZECHII/EiJ",10.2,"control"
"326","CZECHII/EiJ",10.7,"control"
"327","CZECHII/EiJ",10.7,"control"
"328","CZECHII/EiJ",NA,"control"
"329","CZECHII/EiJ",NA,"control"
"330","CZECHII/EiJ",NA,"control"
"331","CZECHII/EiJ",NA,"control"
"332","CZECHII/EiJ",NA,"control"
"333","CZECHII/EiJ",NA,"control"
"334","CZECHII/EiJ",NA,"control"
"335","CZECHII/EiJ",NA,"control"
"336","DBA/2J",17.5,"control"
"337","DBA/2J",19.8,"control"
"338","DBA/2J",20.4,"control"
"339","DBA/2J",NA,"control"
"340","DBA/2J",18.2,"control"
"341","DBA/2J",21.1,"control"
"342","DBA/2J",18,"control"
"343","DBA/2J",19,"control"
"344","DBA/2J",28.6,"control"
"345","DBA/2J",17.2,"control"
"346","DBA/2J",18.7,"control"
"347","DBA/2J",NA,"control"
"348","DBA/2J",NA,"control"
"349","DBA/2J",NA,"control"
"350","DBA/2J",NA,"control"
"351","DBA/2J",NA,"control"
"352","DBA/2J",NA,"control"
"353","DBA/2J",NA,"control"
"354","DBA/2J",NA,"control"
"355","DBA/2J",NA,"control"
"356","FVB/NJ",NA,"control"
"357","FVB/NJ",15.5,"control"
"358","FVB/NJ",18.8,"control"
"359","FVB/NJ",24.3,"control"
"360","FVB/NJ",19.4,"control"
"361","FVB/NJ",19.2,"control"
"362","FVB/NJ",21.2,"control"
"363","FVB/NJ",NA,"control"
"364","FVB/NJ",NA,"control"
"365","FVB/NJ",NA,"control"
"366","FVB/NJ",NA,"control"
"367","FVB/NJ",NA,"control"
"368","FVB/NJ",NA,"control"
"369","FVB/NJ",NA,"control"
"370","FVB/NJ",NA,"control"
"371","FVB/NJ",NA,"control"
"372","FVB/NJ",19.6,"control"
"373","FVB/NJ",18,"control"
"374","FVB/NJ",21,"control"
"375","FVB/NJ",19.2,"control"
"376","I/LnJ",15.4,"control"
"377","I/LnJ",15.6,"control"
"378","I/LnJ",NA,"control"
"379","I/LnJ",NA,"control"
"380","I/LnJ",NA,"control"
"381","I/LnJ",NA,"control"
"382","I/LnJ",NA,"control"
"383","I/LnJ",NA,"control"
"384","I/LnJ",NA,"control"
"385","I/LnJ",NA,"control"
"386","I/LnJ",20.1,"control"
"387","I/LnJ",NA,"control"
"388","I/LnJ",NA,"control"
"389","I/LnJ",17.1,"control"
"390","I/LnJ",16.9,"control"
"391","I/LnJ",17.8,"control"
"392","I/LnJ",16.2,"control"
"393","I/LnJ",15.9,"control"
"394","I/LnJ",18,"control"
"395","I/LnJ",16.4,"control"
"396","JF1/MsJ",NA,"control"
"397","JF1/MsJ",12.6,"control"
"398","JF1/MsJ",13.4,"control"
"399","JF1/MsJ",14,"control"
"400","JF1/MsJ",12.6,"control"
"401","JF1/MsJ",13.4,"control"
"402","JF1/MsJ",13.6,"control"
"403","JF1/MsJ",15.9,"control"
"404","JF1/MsJ",14.3,"control"
"405","JF1/MsJ",14.4,"control"
"406","JF1/MsJ",12.5,"control"
"407","JF1/MsJ",NA,"control"
"408","JF1/MsJ",NA,"control"
"409","JF1/MsJ",NA,"control"
"410","JF1/MsJ",NA,"control"
"411","JF1/MsJ",NA,"control"
"412","JF1/MsJ",NA,"control"
"413","JF1/MsJ",NA,"control"
"414","JF1/MsJ",NA,"control"
"415","JF1/MsJ",NA,"control"
"416","KK/HlJ",NA,"control"
"417","KK/HlJ",34.9,"control"
"418","KK/HlJ",34.3,"control"
"419","KK/HlJ",33,"control"
"420","KK/HlJ",37.7,"control"
"421","KK/HlJ",35.9,"control"
"422","KK/HlJ",36.4,"control"
"423","KK/HlJ",34,"control"
"424","KK/HlJ",34.3,"control"
"425","KK/HlJ",35.1,"control"
"426","KK/HlJ",36.8,"control"
"427","KK/HlJ",NA,"control"
"428","KK/HlJ",NA,"control"
"429","KK/HlJ",NA,"control"
"430","KK/HlJ",NA,"control"
"431","KK/HlJ",NA,"control"
"432","KK/HlJ",NA,"control"
"433","KK/HlJ",NA,"control"
"434","KK/HlJ",NA,"control"
"435","KK/HlJ",NA,"control"
"436","LP/J",15.5,"control"
"437","LP/J",18.2,"control"
"438","LP/J",19.1,"control"
"439","LP/J",18.1,"control"
"440","LP/J",19.6,"control"
"441","LP/J",18.7,"control"
"442","LP/J",20.3,"control"
"443","LP/J",18.6,"control"
"444","LP/J",21,"control"
"445","LP/J",18.4,"control"
"446","LP/J",NA,"control"
"447","LP/J",NA,"control"
"448","LP/J",NA,"control"
"449","LP/J",NA,"control"
"450","LP/J",NA,"control"
"451","LP/J",NA,"control"
"452","LP/J",NA,"control"
"453","LP/J",NA,"control"
"454","LP/J",NA,"control"
"455","LP/J",NA,"control"
"456","MA/MyJ",NA,"control"
"457","MA/MyJ",NA,"control"
"458","MA/MyJ",NA,"control"
"459","MA/MyJ",NA,"control"
"460","MA/MyJ",NA,"control"
"461","MA/MyJ",NA,"control"
"462","MA/MyJ",NA,"control"
"463","MA/MyJ",NA,"control"
"464","MA/MyJ",18.5,"control"
"465","MA/MyJ",NA,"control"
"466","MA/MyJ",NA,"control"
"467","MA/MyJ",NA,"control"
"468","MA/MyJ",18.5,"control"
"469","MA/MyJ",17.7,"control"
"470","MA/MyJ",18.2,"control"
"471","MA/MyJ",21.1,"control"
"472","MA/MyJ",18.6,"control"
"473","MA/MyJ",19.8,"control"
"474","MA/MyJ",18.5,"control"
"475","MA/MyJ",NA,"control"
"476","MA/MyJ",NA,"control"
"477","MA/MyJ",NA,"control"
"478","MA/MyJ",NA,"control"
"479","MOLF/EiJ",NA,"control"
"480","MOLF/EiJ",12,"control"
"481","MOLF/EiJ",11.6,"control"
"482","MOLF/EiJ",11.7,"control"
"483","MOLF/EiJ",12.3,"control"
"484","MOLF/EiJ",11.3,"control"
"485","MOLF/EiJ",11.8,"control"
"486","MOLF/EiJ",11.8,"control"
"487","MOLF/EiJ",11.7,"control"
"488","MOLF/EiJ",NA,"control"
"489","MOLF/EiJ",NA,"control"
"490","MOLF/EiJ",NA,"control"
"491","MOLF/EiJ",NA,"control"
"492","MOLF/EiJ",NA,"control"
"493","MOLF/EiJ",NA,"control"
"494","MOLF/EiJ",NA,"control"
"495","MOLF/EiJ",NA,"control"
"496","MOLF/EiJ",NA,"control"
"497","MOLF/EiJ",13.4,"control"
"498","MSM/MsJ",9.3,"control"
"499","MSM/MsJ",NA,"control"
"500","MSM/MsJ",9.8,"control"
"501","MSM/MsJ",8.7,"control"
"502","MSM/MsJ",9.6,"control"
"503","MSM/MsJ",9.2,"control"
"504","MSM/MsJ",10,"control"
"505","MSM/MsJ",9.5,"control"
"506","MSM/MsJ",9.5,"control"
"507","MSM/MsJ",11,"control"
"508","MSM/MsJ",9.1,"control"
"509","MSM/MsJ",NA,"control"
"510","MSM/MsJ",NA,"control"
"511","MSM/MsJ",NA,"control"
"512","MSM/MsJ",NA,"control"
"513","MSM/MsJ",NA,"control"
"514","MSM/MsJ",NA,"control"
"515","MSM/MsJ",NA,"control"
"516","MSM/MsJ",NA,"control"
"517","MSM/MsJ",NA,"control"
"518","NOD/ShiLtJ",16.7,"control"
"519","NOD/ShiLtJ",NA,"control"
"520","NOD/ShiLtJ",NA,"control"
"521","NOD/ShiLtJ",NA,"control"
"522","NOD/ShiLtJ",NA,"control"
"523","NOD/ShiLtJ",NA,"control"
"524","NOD/ShiLtJ",NA,"control"
"525","NOD/ShiLtJ",NA,"control"
"526","NOD/ShiLtJ",NA,"control"
"527","NOD/ShiLtJ",NA,"control"
"528","NOD/ShiLtJ",NA,"control"
"529","NOD/ShiLtJ",22.9,"control"
"530","NOD/ShiLtJ",17.9,"control"
"531","NOD/ShiLtJ",19.6,"control"
"532","NOD/ShiLtJ",19.3,"control"
"533","NOD/ShiLtJ",20.5,"control"
"534","NOD/ShiLtJ",19.6,"control"
"535","NOD/ShiLtJ",21.6,"control"
"536","NOD/ShiLtJ",19.7,"control"
"537","NOD/ShiLtJ",24.9,"control"
"538","NON/ShiLtJ",28.8,"control"
"539","NON/ShiLtJ",25.2,"control"
"540","NON/ShiLtJ",NA,"control"
"541","NON/ShiLtJ",NA,"control"
"542","NON/ShiLtJ",NA,"control"
"543","NON/ShiLtJ",NA,"control"
"544","NON/ShiLtJ",NA,"control"
"545","NON/ShiLtJ",NA,"control"
"546","NON/ShiLtJ",NA,"control"
"547","NON/ShiLtJ",NA,"control"
"548","NON/ShiLtJ",NA,"control"
"549","NON/ShiLtJ",21.8,"control"
"550","NON/ShiLtJ",25.9,"control"
"551","NON/ShiLtJ",25.6,"control"
"552","NON/ShiLtJ",25.3,"control"
"553","NON/ShiLtJ",24.3,"control"
"554","NON/ShiLtJ",24.8,"control"
"555","NON/ShiLtJ",23.9,"control"
"556","NON/ShiLtJ",NA,"control"
"557","NON/ShiLtJ",24.1,"control"
"558","NZB/BlNJ",24.5,"control"
"559","NZB/BlNJ",23.5,"control"
"560","NZB/BlNJ",23.9,"control"
"561","NZB/BlNJ",22.5,"control"
"562","NZB/BlNJ",23.1,"control"
"563","NZB/BlNJ",20.2,"control"
"564","NZB/BlNJ",17.1,"control"
"565","NZB/BlNJ",20.1,"control"
"566","NZB/BlNJ",17,"control"
"567","NZB/BlNJ",20.7,"control"
"568","NZB/BlNJ",NA,"control"
"569","NZB/BlNJ",NA,"control"
"570","NZB/BlNJ",NA,"control"
"571","NZB/BlNJ",NA,"control"
"572","NZB/BlNJ",NA,"control"
"573","NZB/BlNJ",NA,"control"
"574","NZB/BlNJ",NA,"control"
"575","NZB/BlNJ",NA,"control"
"576","NZB/BlNJ",NA,"control"
"577","NZB/BlNJ",NA,"control"
"578","NZW/LacJ",NA,"control"
"579","NZW/LacJ",24.9,"control"
"580","NZW/LacJ",25.4,"control"
"581","NZW/LacJ",23.6,"control"
"582","NZW/LacJ",24.3,"control"
"583","NZW/LacJ",27.1,"control"
"584","NZW/LacJ",21.8,"control"
"585","NZW/LacJ",24.7,"control"
"586","NZW/LacJ",25.5,"control"
"587","NZW/LacJ",23.8,"control"
"588","NZW/LacJ",24.1,"control"
"589","NZW/LacJ",NA,"control"
"590","NZW/LacJ",NA,"control"
"591","NZW/LacJ",NA,"control"
"592","NZW/LacJ",NA,"control"
"593","NZW/LacJ",NA,"control"
"594","NZW/LacJ",NA,"control"
"595","NZW/LacJ",NA,"control"
"596","NZW/LacJ",NA,"control"
"597","NZW/LacJ",NA,"control"
"598","PERA/EiJ",NA,"control"
"599","PERA/EiJ",NA,"control"
"600","PERA/EiJ",NA,"control"
"601","PERA/EiJ",NA,"control"
"602","PERA/EiJ",NA,"control"
"603","PERA/EiJ",20.8,"control"
"604","PERA/EiJ",NA,"control"
"605","PERA/EiJ",NA,"control"
"606","PERA/EiJ",NA,"control"
"607","PERA/EiJ",NA,"control"
"608","PERA/EiJ",NA,"control"
"609","PERA/EiJ",16.5,"control"
"610","PERA/EiJ",17.6,"control"
"611","PERA/EiJ",17.3,"control"
"612","PERA/EiJ",17,"control"
"613","PERA/EiJ",17.1,"control"
"614","PERA/EiJ",17.4,"control"
"615","PERA/EiJ",21.1,"control"
"616","PERA/EiJ",21.6,"control"
"617","PERA/EiJ",19.5,"control"
"618","PL/J",19.1,"control"
"619","PL/J",NA,"control"
"620","PL/J",NA,"control"
"621","PL/J",NA,"control"
"622","PL/J",16.5,"control"
"623","PL/J",15.5,"control"
"624","PL/J",13.6,"control"
"625","PL/J",24.2,"control"
"626","PL/J",18,"control"
"627","PL/J",15.6,"control"
"628","PL/J",15.5,"control"
"629","PL/J",15.9,"control"
"630","PL/J",15.3,"control"
"631","PL/J",NA,"control"
"632","PL/J",NA,"control"
"633","PL/J",NA,"control"
"634","PL/J",NA,"control"
"635","PL/J",NA,"control"
"636","PL/J",NA,"control"
"637","PL/J",NA,"control"
"638","PWK/PhJ",NA,"control"
"639","PWK/PhJ",12.9,"control"
"640","PWK/PhJ",13.1,"control"
"641","PWK/PhJ",12.9,"control"
"642","PWK/PhJ",11.3,"control"
"643","PWK/PhJ",11.2,"control"
"644","PWK/PhJ",14.9,"control"
"645","PWK/PhJ",13.6,"control"
"646","PWK/PhJ",14.2,"control"
"647","PWK/PhJ",14,"control"
"648","PWK/PhJ",13.6,"control"
"649","PWK/PhJ",NA,"control"
"650","PWK/PhJ",NA,"control"
"651","PWK/PhJ",NA,"control"
"652","PWK/PhJ",NA,"control"
"653","PWK/PhJ",NA,"control"
"654","PWK/PhJ",NA,"control"
"655","PWK/PhJ",NA,"control"
"656","PWK/PhJ",NA,"control"
"657","PWK/PhJ",NA,"control"
"658","RIIIS/J",NA,"control"
"659","RIIIS/J",13.6,"control"
"660","RIIIS/J",18.3,"control"
"661","RIIIS/J",16.8,"control"
"662","RIIIS/J",16.8,"control"
"663","RIIIS/J",16.8,"control"
"664","RIIIS/J",17.2,"control"
"665","RIIIS/J",15.4,"control"
"666","RIIIS/J",15.5,"control"
"667","RIIIS/J",17.3,"control"
"668","RIIIS/J",15.8,"control"
"669","RIIIS/J",NA,"control"
"670","RIIIS/J",NA,"control"
"671","RIIIS/J",NA,"control"
"672","RIIIS/J",NA,"control"
"673","RIIIS/J",NA,"control"
"674","RIIIS/J",NA,"control"
"675","RIIIS/J",NA,"control"
"676","RIIIS/J",NA,"control"
"677","RIIIS/J",NA,"control"
"678","SEA/GnJ",17.5,"control"
"679","SEA/GnJ",NA,"control"
"680","SEA/GnJ",NA,"control"
"681","SEA/GnJ",NA,"control"
"682","SEA/GnJ",NA,"control"
"683","SEA/GnJ",NA,"control"
"684","SEA/GnJ",NA,"control"
"685","SEA/GnJ",NA,"control"
"686","SEA/GnJ",NA,"control"
"687","SEA/GnJ",NA,"control"
"688","SEA/GnJ",NA,"control"
"689","SEA/GnJ",19.8,"control"
"690","SEA/GnJ",19.6,"control"
"691","SEA/GnJ",18.2,"control"
"692","SEA/GnJ",18.4,"control"
"693","SEA/GnJ",17,"control"
"694","SEA/GnJ",17.4,"control"
"695","SEA/GnJ",20.3,"control"
"696","SEA/GnJ",19.6,"control"
"697","SEA/GnJ",17.4,"control"
"698","SJL/J",NA,"control"
"699","SJL/J",25.5,"control"
"700","SJL/J",19.3,"control"
"701","SJL/J",18.2,"control"
"702","SJL/J",17.2,"control"
"703","SJL/J",19.1,"control"
"704","SJL/J",19.5,"control"
"705","SJL/J",18.6,"control"
"706","SJL/J",16.2,"control"
"707","SJL/J",21.2,"control"
"708","SJL/J",26.4,"control"
"709","SJL/J",NA,"control"
"710","SJL/J",NA,"control"
"711","SJL/J",NA,"control"
"712","SJL/J",NA,"control"
"713","SJL/J",NA,"control"
"714","SJL/J",NA,"control"
"715","SJL/J",NA,"control"
"716","SJL/J",NA,"control"
"717","SJL/J",NA,"control"
"718","SM/J",10.5,"control"
"719","SM/J",13.8,"control"
"720","SM/J",17.3,"control"
"721","SM/J",15.3,"control"
"722","SM/J",15.7,"control"
"723","SM/J",NA,"control"
"724","SM/J",NA,"control"
"725","SM/J",NA,"control"
"726","SM/J",NA,"control"
"727","SM/J",NA,"control"
"728","SM/J",NA,"control"
"729","SM/J",NA,"control"
"730","SM/J",NA,"control"
"731","SM/J",NA,"control"
"732","SM/J",NA,"control"
"733","SM/J",19.3,"control"
"734","SM/J",17.2,"control"
"735","SM/J",13.8,"control"
"736","SM/J",13.6,"control"
"737","SM/J",14.6,"control"
"738","SPRET/EiJ",NA,"control"
"739","SPRET/EiJ",NA,"control"
"740","SPRET/EiJ",NA,"control"
"741","SPRET/EiJ",NA,"control"
"742","SPRET/EiJ",NA,"control"
"743","SPRET/EiJ",12.2,"control"
