"","strain","MALES_body_weight","group"
"344","DBA/2J",NA,"control"
"345","DBA/2J",NA,"control"
"346","DBA/2J",NA,"control"
"347","DBA/2J",25.2,"control"
"348","DBA/2J",27.5,"control"
"349","DBA/2J",28.3,"control"
"350","DBA/2J",28.9,"control"
"351","DBA/2J",25.7,"control"
"352","DBA/2J",25.4,"control"
"353","DBA/2J",25.6,"control"
"354","DBA/2J",29,"control"
"355","DBA/2J",26.1,"control"
"356","FVB/NJ",25.8,"control"
"357","FVB/NJ",NA,"control"
"358","FVB/NJ",NA,"control"
"359","FVB/NJ",NA,"control"
"360","FVB/NJ",NA,"control"
"361","FVB/NJ",NA,"control"
"362","FVB/NJ",NA,"control"
"363","FVB/NJ",24.5,"control"
"364","FVB/NJ",28.4,"control"
"365","FVB/NJ",25.8,"control"
"366","FVB/NJ",26.3,"control"
"367","FVB/NJ",25.5,"control"
"368","FVB/NJ",26,"control"
"369","FVB/NJ",27.5,"control"
"370","FVB/NJ",24.7,"control"
"371","FVB/NJ",25.7,"control"
"372","FVB/NJ",NA,"control"
"373","FVB/NJ",NA,"control"
"374","FVB/NJ",NA,"control"
"375","FVB/NJ",NA,"control"
"376","I/LnJ",NA,"control"
"377","I/LnJ",NA,"control"
"378","I/LnJ",32.8,"control"
"379","I/LnJ",22.2,"control"
"380","I/LnJ",23.8,"control"
"381","I/LnJ",20.8,"control"
"382","I/LnJ",23.4,"control"
"383","I/LnJ",24,"control"
"384","I/LnJ",24.8,"control"
"385","I/LnJ",24.7,"control"
"386","I/LnJ",NA,"control"
"387","I/LnJ",24,"control"
"388","I/LnJ",24.9,"control"
"389","I/LnJ",NA,"control"
"390","I/LnJ",NA,"control"
"391","I/LnJ",NA,"control"
"392","I/LnJ",NA,"control"
"393","I/LnJ",NA,"control"
"394","I/LnJ",NA,"control"
"395","I/LnJ",NA,"control"
"396","JF1/MsJ",20,"control"
"397","JF1/MsJ",NA,"control"
"398","JF1/MsJ",NA,"control"
"399","JF1/MsJ",NA,"control"
"400","JF1/MsJ",NA,"control"
"401","JF1/MsJ",NA,"control"
"402","JF1/MsJ",NA,"control"
"403","JF1/MsJ",NA,"control"
"404","JF1/MsJ",NA,"control"
"405","JF1/MsJ",NA,"control"
"406","JF1/MsJ",NA,"control"
"407","JF1/MsJ",20.4,"control"
"408","JF1/MsJ",20.6,"control"
"409","JF1/MsJ",17.4,"control"
"410","JF1/MsJ",15.8,"control"
"411","JF1/MsJ",18.4,"control"
"412","JF1/MsJ",16.4,"control"
"413","JF1/MsJ",22.4,"control"
"414","JF1/MsJ",23.1,"control"
"415","JF1/MsJ",21.7,"control"
"416","KK/HlJ",24.6,"control"
"417","KK/HlJ",NA,"control"
"418","KK/HlJ",NA,"control"
"419","KK/HlJ",NA,"control"
"420","KK/HlJ",NA,"control"
"421","KK/HlJ",NA,"control"
"422","KK/HlJ",NA,"control"
"423","KK/HlJ",NA,"control"
"424","KK/HlJ",NA,"control"
"425","KK/HlJ",NA,"control"
"426","KK/HlJ",NA,"control"
"427","KK/HlJ",37.6,"control"
"428","KK/HlJ",39.1,"control"
"429","KK/HlJ",38.6,"control"
"430","KK/HlJ",34.1,"control"
"431","KK/HlJ",34.1,"control"
"432","KK/HlJ",32.4,"control"
"433","KK/HlJ",37.6,"control"
"434","KK/HlJ",31.6,"control"
"435","KK/HlJ",35.2,"control"
"436","LP/J",NA,"control"
"437","LP/J",NA,"control"
"438","LP/J",NA,"control"
"439","LP/J",NA,"control"
"440","LP/J",NA,"control"
"441","LP/J",NA,"control"
"442","LP/J",NA,"control"
"443","LP/J",NA,"control"
"444","LP/J",NA,"control"
"445","LP/J",NA,"control"
"446","LP/J",22.8,"control"
"447","LP/J",25.1,"control"
"448","LP/J",23.8,"control"
"449","LP/J",21.2,"control"
"450","LP/J",25.4,"control"
"451","LP/J",25.9,"control"
"452","LP/J",24.5,"control"
"453","LP/J",25.7,"control"
"454","LP/J",24.5,"control"
"455","LP/J",22.4,"control"
"456","MA/MyJ",23.3,"control"
"457","MA/MyJ",23.9,"control"
"458","MA/MyJ",21.8,"control"
"459","MA/MyJ",22.3,"control"
"460","MA/MyJ",23.7,"control"
"461","MA/MyJ",20.7,"control"
"462","MA/MyJ",21.8,"control"
"463","MA/MyJ",21.8,"control"
"464","MA/MyJ",NA,"control"
"465","MA/MyJ",29.6,"control"
"466","MA/MyJ",25.6,"control"
"467","MA/MyJ",24.1,"control"
"468","MA/MyJ",NA,"control"
"469","MA/MyJ",NA,"control"
"470","MA/MyJ",NA,"control"
"471","MA/MyJ",NA,"control"
"472","MA/MyJ",NA,"control"
"473","MA/MyJ",NA,"control"
"474","MA/MyJ",NA,"control"
"475","MA/MyJ",22.7,"control"
"476","MA/MyJ",25.1,"control"
"477","MA/MyJ",22.9,"control"
"478","MA/MyJ",23.9,"control"
"479","MOLF/EiJ",12.3,"control"
"480","MOLF/EiJ",NA,"control"
"481","MOLF/EiJ",NA,"control"
"482","MOLF/EiJ",NA,"control"
"483","MOLF/EiJ",NA,"control"
"484","MOLF/EiJ",NA,"control"
"485","MOLF/EiJ",NA,"control"
"486","MOLF/EiJ",NA,"control"
"487","MOLF/EiJ",NA,"control"
"488","MOLF/EiJ",15.4,"control"
"489","MOLF/EiJ",12.5,"control"
"490","MOLF/EiJ",12.7,"control"
"491","MOLF/EiJ",12.5,"control"
"492","MOLF/EiJ",13.3,"control"
"493","MOLF/EiJ",12.7,"control"
"494","MOLF/EiJ",13.8,"control"
"495","MOLF/EiJ",15.3,"control"
"496","MOLF/EiJ",13.9,"control"
"497","MOLF/EiJ",NA,"control"
"498","MSM/MsJ",NA,"control"
"499","MSM/MsJ",12,"control"
"500","MSM/MsJ",NA,"control"
"501","MSM/MsJ",NA,"control"
"502","MSM/MsJ",NA,"control"
"503","MSM/MsJ",NA,"control"
"504","MSM/MsJ",NA,"control"
"505","MSM/MsJ",NA,"control"
"506","MSM/MsJ",NA,"control"
"507","MSM/MsJ",NA,"control"
"508","MSM/MsJ",NA,"control"
"509","MSM/MsJ",11.9,"control"
"510","MSM/MsJ",11.9,"control"
"511","MSM/MsJ",11.8,"control"
"512","MSM/MsJ",11.8,"control"
"513","MSM/MsJ",11.6,"control"
"514","MSM/MsJ",12.7,"control"
"515","MSM/MsJ",11.1,"control"
"516","MSM/MsJ",12.7,"control"
"517","MSM/MsJ",12.7,"control"
"518","NOD/ShiLtJ",NA,"control"
"519","NOD/ShiLtJ",25.3,"control"
"520","NOD/ShiLtJ",26.3,"control"
"521","NOD/ShiLtJ",27.7,"control"
"522","NOD/ShiLtJ",25.4,"control"
"523","NOD/ShiLtJ",23.6,"control"
"524","NOD/ShiLtJ",31,"control"
"525","NOD/ShiLtJ",31.2,"control"
"526","NOD/ShiLtJ",26.9,"control"
"527","NOD/ShiLtJ",26.1,"control"
"528","NOD/ShiLtJ",25.6,"control"
"529","NOD/ShiLtJ",NA,"control"
"530","NOD/ShiLtJ",NA,"control"
"531","NOD/ShiLtJ",NA,"control"
"532","NOD/ShiLtJ",NA,"control"
"533","NOD/ShiLtJ",NA,"control"
"534","NOD/ShiLtJ",NA,"control"
"535","NOD/ShiLtJ",NA,"control"
"536","NOD/ShiLtJ",NA,"control"
"537","NOD/ShiLtJ",NA,"control"
"538","NON/ShiLtJ",NA,"control"
"539","NON/ShiLtJ",NA,"control"
"540","NON/ShiLtJ",39.1,"control"
"541","NON/ShiLtJ",38.8,"control"
"542","NON/ShiLtJ",37.4,"control"
"543","NON/ShiLtJ",31.3,"control"
"544","NON/ShiLtJ",31,"control"
"545","NON/ShiLtJ",33.8,"control"
"546","NON/ShiLtJ",30.2,"control"
"547","NON/ShiLtJ",34.8,"control"
"548","NON/ShiLtJ",31.5,"control"
"549","NON/ShiLtJ",NA,"control"
"550","NON/ShiLtJ",NA,"control"
"551","NON/ShiLtJ",NA,"control"
"552","NON/ShiLtJ",NA,"control"
"553","NON/ShiLtJ",NA,"control"
"554","NON/ShiLtJ",NA,"control"
"555","NON/ShiLtJ",NA,"control"
"556","NON/ShiLtJ",30.9,"control"
"557","NON/ShiLtJ",NA,"control"
"558","NZB/BlNJ",NA,"control"
"559","NZB/BlNJ",NA,"control"
"560","NZB/BlNJ",NA,"control"
"561","NZB/BlNJ",NA,"control"
"562","NZB/BlNJ",NA,"control"
"563","NZB/BlNJ",NA,"control"
"564","NZB/BlNJ",NA,"control"
"565","NZB/BlNJ",NA,"control"
"566","NZB/BlNJ",NA,"control"
"567","NZB/BlNJ",NA,"control"
"568","NZB/BlNJ",33,"control"
"569","NZB/BlNJ",28.5,"control"
"570","NZB/BlNJ",28.4,"control"
"571","NZB/BlNJ",31.8,"control"
"572","NZB/BlNJ",29.1,"control"
"573","NZB/BlNJ",26.1,"control"
"574","NZB/BlNJ",26.5,"control"
"575","NZB/BlNJ",28,"control"
"576","NZB/BlNJ",27.3,"control"
"577","NZB/BlNJ",25.8,"control"
"578","NZW/LacJ",28.3,"control"
"579","NZW/LacJ",NA,"control"
"580","NZW/LacJ",NA,"control"
"581","NZW/LacJ",NA,"control"
"582","NZW/LacJ",NA,"control"
"583","NZW/LacJ",NA,"control"
"584","NZW/LacJ",NA,"control"
"585","NZW/LacJ",NA,"control"
"586","NZW/LacJ",NA,"control"
"587","NZW/LacJ",NA,"control"
"588","NZW/LacJ",NA,"control"
"589","NZW/LacJ",27.4,"control"
"590","NZW/LacJ",29.4,"control"
"591","NZW/LacJ",25.8,"control"
"592","NZW/LacJ",26,"control"
"593","NZW/LacJ",26.2,"control"
"594","NZW/LacJ",28.5,"control"
"595","NZW/LacJ",26.9,"control"
"596","NZW/LacJ",25.5,"control"
"597","NZW/LacJ",27.8,"control"
"598","PERA/EiJ",22.8,"control"
"599","PERA/EiJ",22.8,"control"
"600","PERA/EiJ",24.5,"control"
"601","PERA/EiJ",23,"control"
"602","PERA/EiJ",23,"control"
"603","PERA/EiJ",NA,"control"
"604","PERA/EiJ",29.9,"control"
"605","PERA/EiJ",24.8,"control"
"606","PERA/EiJ",26.9,"control"
"607","PERA/EiJ",25.4,"control"
"608","PERA/EiJ",27.7,"control"
"609","PERA/EiJ",NA,"control"
"610","PERA/EiJ",NA,"control"
"611","PERA/EiJ",NA,"control"
"612","PERA/EiJ",NA,"control"
"613","PERA/EiJ",NA,"control"
"614","PERA/EiJ",NA,"control"
"615","PERA/EiJ",NA,"control"
"616","PERA/EiJ",NA,"control"
"617","PERA/EiJ",NA,"control"
"618","PL/J",NA,"control"
"619","PL/J",24.2,"control"
"620","PL/J",20.1,"control"
"621","PL/J",24.1,"control"
"622","PL/J",NA,"control"
"623","PL/J",NA,"control"
"624","PL/J",NA,"control"
"625","PL/J",NA,"control"
"626","PL/J",NA,"control"
"627","PL/J",NA,"control"
"628","PL/J",NA,"control"
"629","PL/J",NA,"control"
"630","PL/J",NA,"control"
"631","PL/J",21,"control"
"632","PL/J",23.6,"control"
"633","PL/J",23.2,"control"
"634","PL/J",21.2,"control"
"635","PL/J",19.4,"control"
"636","PL/J",22.1,"control"
"637","PL/J",20,"control"
"638","PWK/PhJ",16.6,"control"
"639","PWK/PhJ",NA,"control"
"640","PWK/PhJ",NA,"control"
"641","PWK/PhJ",NA,"control"
"642","PWK/PhJ",NA,"control"
"643","PWK/PhJ",NA,"control"
"644","PWK/PhJ",NA,"control"
"645","PWK/PhJ",NA,"control"
"646","PWK/PhJ",NA,"control"
"647","PWK/PhJ",NA,"control"
"648","PWK/PhJ",NA,"control"
"649","PWK/PhJ",14.3,"control"
"650","PWK/PhJ",14.8,"control"
"651","PWK/PhJ",14.1,"control"
"652","PWK/PhJ",16.6,"control"
"653","PWK/PhJ",15.4,"control"
"654","PWK/PhJ",16.2,"control"
"655","PWK/PhJ",15.7,"control"
"656","PWK/PhJ",16.3,"control"
"657","PWK/PhJ",18.3,"control"
"658","RIIIS/J",21.1,"control"
"659","RIIIS/J",NA,"control"
"660","RIIIS/J",NA,"control"
"661","RIIIS/J",NA,"control"
"662","RIIIS/J",NA,"control"
"663","RIIIS/J",NA,"control"
"664","RIIIS/J",NA,"control"
"665","RIIIS/J",NA,"control"
"666","RIIIS/J",NA,"control"
"667","RIIIS/J",NA,"control"
"668","RIIIS/J",NA,"control"
"669","RIIIS/J",17.5,"control"
"670","RIIIS/J",21.6,"control"
"671","RIIIS/J",21.9,"control"
"672","RIIIS/J",23.4,"control"
"673","RIIIS/J",18.6,"control"
"674","RIIIS/J",21.8,"control"
"675","RIIIS/J",20.2,"control"
"676","RIIIS/J",21.7,"control"
"677","RIIIS/J",20.7,"control"
"678","SEA/GnJ",NA,"control"
"679","SEA/GnJ",24.7,"control"
"680","SEA/GnJ",22.8,"control"
"681","SEA/GnJ",21.9,"control"
"682","SEA/GnJ",24.1,"control"
"683","SEA/GnJ",23.2,"control"
"684","SEA/GnJ",20.8,"control"
"685","SEA/GnJ",19.8,"control"
"686","SEA/GnJ",21.4,"control"
"687","SEA/GnJ",18.5,"control"
"688","SEA/GnJ",21.9,"control"
"689","SEA/GnJ",NA,"control"
"690","SEA/GnJ",NA,"control"
"691","SEA/GnJ",NA,"control"
"692","SEA/GnJ",NA,"control"
"693","SEA/GnJ",NA,"control"
"694","SEA/GnJ",NA,"control"
"695","SEA/GnJ",NA,"control"
"696","SEA/GnJ",NA,"control"
"697","SEA/GnJ",NA,"control"
"698","SJL/J",25.4,"control"
"699","SJL/J",NA,"control"
"700","SJL/J",NA,"control"
"701","SJL/J",NA,"control"
"702","SJL/J",NA,"control"
"703","SJL/J",NA,"control"
"704","SJL/J",NA,"control"
"705","SJL/J",NA,"control"
"706","SJL/J",NA,"control"
"707","SJL/J",NA,"control"
"708","SJL/J",NA,"control"
"709","SJL/J",25.7,"control"
"710","SJL/J",26.2,"control"
"711","SJL/J",24.8,"control"
"712","SJL/J",25.5,"control"
"713","SJL/J",22.3,"control"
"714","SJL/J",26,"control"
"715","SJL/J",24,"control"
"716","SJL/J",26.6,"control"
"717","SJL/J",23.5,"control"
"718","SM/J",NA,"control"
"719","SM/J",NA,"control"
"720","SM/J",NA,"control"
"721","SM/J",NA,"control"
"722","SM/J",NA,"control"
"723","SM/J",20.9,"control"
"724","SM/J",21,"control"
"725","SM/J",19.5,"control"
"726","SM/J",19.2,"control"
"727","SM/J",19,"control"
"728","SM/J",18.4,"control"
"729","SM/J",18.6,"control"
"730","SM/J",18.9,"control"
"731","SM/J",20.5,"control"
"732","SM/J",19.1,"control"
"733","SM/J",NA,"control"
"734","SM/J",NA,"control"
"735","SM/J",NA,"control"
"736","SM/J",NA,"control"
"737","SM/J",NA,"control"
"738","SPRET/EiJ",22.8,"control"
"739","SPRET/EiJ",15.8,"control"
"740","SPRET/EiJ",15.1,"control"
"741","SPRET/EiJ",15.4,"control"
"742","SPRET/EiJ",15.3,"control"
"743","SPRET/EiJ",NA,"control"
