"Comparison","Difference","p-value","CI-Low","CI-High","p-value","CI-Low","CI-High"
"NZB/BlNJfluoxetine - 129S1/SvImJcontrol","1.25440314163399","0.0165056598894121","0.204111071021094","2.30469521224689","0.0362868326619286","0.0687506797042994","2.44005560356369"
"NZW/LacJcontrol - 129S1/SvImJcontrol","3.52592191624139","1.0117841523954e-11","2.41033317805386","4.64151065442891","1.51736561204018e-9","2.2807323618159","4.77111147066687"
"NZW/LacJfluoxetine - 129S1/SvImJcontrol","3.45519449707208","2.62975915553491e-11","2.33960575888455","4.5707832352596","3.23767344247792e-9","2.21000494264659","4.70038405149756"
"P/Jcontrol - 129S1/SvImJcontrol","3.91995002663888","3.49350178415383e-14","2.80436128845136","5.03553876482641","1.90395847236383e-11","2.6747604722134","5.16513958106437"
"P/Jfluoxetine - 129S1/SvImJcontrol","2.94443238706311","1.76235534416749e-9","1.89414031645021","3.99472445767601","1.33126797293254e-7","1.75877992513341","4.1300848489928"
"PL/Jcontrol - 129S1/SvImJcontrol","3.46570910908683","3.06554781559498e-13","2.44097541982878","4.49044279834487","2.6816638999484e-10","2.30313815618433","4.62828006198932"
"PL/Jfluoxetine - 129S1/SvImJcontrol","3.20474295798056","1.67303695847265e-11","2.18000926872252","4.2294766472386","5.00671002695901e-9","2.04217200507806","4.36731391088305"
"RIIIS/Jcontrol - 129S1/SvImJcontrol","3.44328339312935","3.08439433837792e-11","2.32769465494182","4.55887213131687","3.64545316089559e-9","2.19809383870386","4.68847294755483"
"RIIIS/Jfluoxetine - 129S1/SvImJcontrol","3.57544900234367","5.41113048089044e-14","2.55071531308563","4.60018269160171","7.31125183705018e-11","2.41287804944117","4.73801995524616"
"SJL/Jcontrol - 129S1/SvImJcontrol","3.94334754265004","0","2.89305547203714","4.99363961326294","2.06162572393815e-12","2.75769508072034","5.12900000457973"
"SJL/Jfluoxetine - 129S1/SvImJcontrol","1.24959962798336","0.0170130172075063","0.19930755737046","2.29989169859626","0.0371343186720026","0.0639471660536655","2.43525208991305"
"SM/Jcontrol - 129S1/SvImJcontrol","3.4531398442343","1.43810573649903e-10","2.2947928400054","4.61148684846319","9.06199559835841e-9","2.16856741219499","4.7377122762736"
"SM/Jfluoxetine - 129S1/SvImJcontrol","2.25591956557513","0.0000191034611691251","1.14033082738761","3.37150830376266","0.000142812750457747","1.01073001114965","3.50110912000062"
"SWR/Jcontrol - 129S1/SvImJcontrol","3.75176738160085","3.24809050179591e-15","2.72703369234281","4.77650107085889","9.01810925676918e-12","2.58919642869836","4.91433833450335"
"SWR/Jfluoxetine - 129S1/SvImJcontrol","3.88312669563787","0","2.85839300637983","4.90786038489591","1.94404016694096e-12","2.72055574273538","5.04569764854037"
"A/Jcontrol - 129S1/SvImJfluoxetine","-0.204275261138995","0.774598299724913","-1.2844394121932","0.875888889915214","0.806587283354546","-1.41706820747581","1.00851768519782"
"A/Jfluoxetine - 129S1/SvImJfluoxetine","0.0269074566086056","0.974260041178449","-0.997826232649434","1.05164114586665","0.979270781710234","-1.13566349629389","1.1894784095111"
"AKR/Jcontrol - 129S1/SvImJfluoxetine","4.19611767421458","9.43245481721533e-15","3.02940704509822","5.36282830333094","3.98173297611959e-12","2.90380854417112","5.48842680425804"
"AKR/Jfluoxetine - 129S1/SvImJfluoxetine","4.06571968073686","5.65494893118425e-14","2.8990090516205","5.23243030985322","1.70002858908019e-11","2.7734105506934","5.35802881078032"
"BALB/cJcontrol - 129S1/SvImJfluoxetine","2.06729276937608","0.000197579525985832","0.90058214025972","3.23400339849245","0.000820311384003307","0.774983639332627","3.35960189941954"
"BALB/cJfluoxetine - 129S1/SvImJfluoxetine","2.17112847284433","0.0000333169815977507","1.06668793894737","3.27556900674129","0.000229367701395099","0.936157840108192","3.40609910558047"
"BTBR T+ tf/Jcontrol - 129S1/SvImJfluoxetine","3.85168072378212","1.11355369369903e-12","2.68497009466576","5.01839135289849","1.78679248267947e-10","2.55937159373867","5.14398985382558"
"BTBR T+ tf/Jfluoxetine - 129S1/SvImJfluoxetine","3.57988377647859","9.07746995850293e-13","2.49971962542438","4.6600479275328","3.31749916426816e-10","2.36709083014178","4.7926767228154"
"BUB/BnJcontrol - 129S1/SvImJfluoxetine","4.76629242087436","0","3.55863218656658","5.97395265518214","2.62012633811537e-14","3.43595700426629","6.09662783748242"
"BUB/BnJfluoxetine - 129S1/SvImJfluoxetine","5.14392264248547","0","3.97721201336911","6.31063327160184","0","3.85161351244202","6.43623177252893"
"C3H/HeJcontrol - 129S1/SvImJfluoxetine","4.10396604558578","0","3.07923235632774","5.12869973484382","1.41669621770191e-13","2.94139509268329","5.26653699848828"
"C3H/HeJfluoxetine - 129S1/SvImJfluoxetine","4.1084360629387","0","3.08370237368066","5.13316975219674","1.34088818480022e-13","2.94586511003621","5.2710070158412"
"C57BL/6Jcontrol - 129S1/SvImJfluoxetine","4.26691964017283","0","3.18675548911862","5.34708379122704","1.21648722841071e-13","3.05412669383601","5.47971258650964"
"C57BL/6Jfluoxetine - 129S1/SvImJfluoxetine","4.12796483608187","2.38193303465034e-14","2.9612542069655","5.29467546519823","8.57833489282182e-12","2.83565570603841","5.42027396612532"
"C57BLKS/Jcontrol - 129S1/SvImJfluoxetine","3.38358306058962","1.32915985909895e-10","2.25069734148776","4.51646877969147","1.00063239630873e-8","2.12249721761499","4.64466890356424"
"C57BLKS/Jfluoxetine - 129S1/SvImJfluoxetine","3.26504573534772","7.83490962983035e-11","2.18488158429351","4.34520988640193","9.849143223841e-9","2.05225278901091","4.47783868168453"
"C57BR/cdJcontrol - 129S1/SvImJfluoxetine","5.50173339816989","0","4.47699970891185","6.52646708742793","0","4.33916244526739","6.66430435107238"
"C57BR/cdJfluoxetine - 129S1/SvImJfluoxetine","5.19661070366448","0","4.11644655261027","6.27677485471869","0","3.98381775732767","6.40940365000129"
"C58/Jcontrol - 129S1/SvImJfluoxetine","4.88664631907601","0","3.71993568995964","6.05335694819237","0","3.59433718903255","6.17895544911946"
"C58/Jfluoxetine - 129S1/SvImJfluoxetine","4.64662642302437","0","3.47991579390801","5.81333705214074","2.62012633811537e-14","3.35431729298091","5.93893555306783"
"CBA/Jcontrol - 129S1/SvImJfluoxetine","4.07039311093802","0","3.04565942167998","5.09512680019606","2.0961010704923e-13","2.90782215803553","5.23296406384052"
"CBA/Jfluoxetine - 129S1/SvImJfluoxetine","4.30737858199199","0","3.26650636148602","5.34825080249797","2.18343861509614e-14","3.13024858939262","5.48450857459137"
"CE/Jcontrol - 129S1/SvImJfluoxetine","4.33323082278547","0","3.1665201936691","5.49994145190183","8.95629724230783e-13","3.04092169274201","5.62553995282892"
"CE/Jfluoxetine - 129S1/SvImJfluoxetine","4.51492839475417","0","3.43476424369996","5.59509254580838","6.33901533415009e-15","3.30213544841736","5.72772134109098"
"DBA/2Jcontrol - 129S1/SvImJfluoxetine","3.07870109799645","1.80203867700917e-11","2.09265064576177","4.06475155023113","7.73637930233258e-9","1.95079874571197","4.20660345028093"
"DBA/2Jfluoxetine - 129S1/SvImJfluoxetine","2.30557247540557","8.6252902386344e-7","1.3079888772065","3.30315607360464","0.0000198273827984296","1.16736897073905","3.44377598007208"
"FVB/NJcontrol - 129S1/SvImJfluoxetine","5.05684246552629","0","3.89013183640992","6.22355309464265","0","3.76453333548283","6.34915159556974"
"FVB/NJfluoxetine - 129S1/SvImJfluoxetine","4.81595235622445","0","3.64924172710808","5.98266298534081","0","3.52364322618099","6.1082614862679"
"I/LnJcontrol - 129S1/SvImJfluoxetine","4.02966376049674","3.24809050179591e-15","2.92522322659978","5.1341042943937","3.93018950717305e-12","2.7946931277606","5.26463439323288"
"I/LnJfluoxetine - 129S1/SvImJfluoxetine","3.22466133202876","1.06090267753563e-8","2.01700109772097","4.43232156633654","2.22149684813484e-7","1.89432591542069","4.55499674863682"
"LG/Jcontrol - 129S1/SvImJfluoxetine","4.30479919716374","0","3.20035866326678","5.4092397310607","1.69712728718836e-13","3.0698285644276","5.53976982989988"
"LG/Jfluoxetine - 129S1/SvImJfluoxetine","2.7839424850309","3.67648459089559e-7","1.61723185591454","3.95065311414727","0.00000489071112796463","1.49163335498745","4.07625161507436"
"LP/Jcontrol - 129S1/SvImJfluoxetine","3.30740729603347","1.1333727985969e-9","2.14069666691711","4.47411792514984","4.55401866217287e-8","2.01509816599001","4.59971642607693"
"LP/Jfluoxetine - 129S1/SvImJfluoxetine","2.23357888940468","0.00000111421453073492","1.25796312716846","3.20919465164089","0.0000266010208380729","1.1149697774755","3.35218800133385"
"MA/MyJcontrol - 129S1/SvImJfluoxetine","4.98745439666289","0","3.82074376754653","6.15416502577926","0","3.69514526661943","6.27976352670635"
"MA/MyJfluoxetine - 129S1/SvImJfluoxetine","4.11471069855913","2.932977244159e-14","2.94800006944276","5.28142132767549","9.79826476365221e-12","2.82240156851567","5.40701982860258"
"MRL/MpJcontrol - 129S1/SvImJfluoxetine","4.73034853052341","0","3.62590799662646","5.83478906442037","0","3.49537789778727","5.96531916325955"
"MRL/MpJfluoxetine - 129S1/SvImJfluoxetine","4.09180908644233","2.79597374335801e-13","2.88414885213455","5.29946932075011","4.24944620554559e-11","2.76147366983426","5.4221445030504"
"NOD/ShiLtJcontrol - 129S1/SvImJfluoxetine","5.2741414812434","0","4.16970094734644","6.37858201514036","0","4.03917084850726","6.50911211397954"
"NOD/ShiLtJfluoxetine - 129S1/SvImJfluoxetine","5.12944520459893","0","4.02500467070197","6.23388573849589","0","3.89447457186279","6.36441583733507"
"NOR/LtJcontrol - 129S1/SvImJfluoxetine","5.12638025229253","0","3.91872001798475","6.33404048660031","0","3.79604483568446","6.4567156689006"
"NOR/LtJfluoxetine - 129S1/SvImJfluoxetine","5.21230614294564","0","4.17143392243966","6.25317836345162","0","4.03517615034626","6.38943613554502"
"NZB/BlNJcontrol - 129S1/SvImJfluoxetine","3.18088768005936","6.09317846610004e-10","2.0764471461624","4.28532821395632","4.04527101170835e-8","1.94591704732322","4.4158583127955"
"NZB/BlNJfluoxetine - 129S1/SvImJfluoxetine","2.06283250683804","0.0000838967926900525","0.958391972941083","3.167273040735","0.00047471920417389","0.827861874101901","3.29780313957418"
"NZW/LacJcontrol - 129S1/SvImJfluoxetine","4.33435128144544","0","3.16764065232907","5.5010619105618","8.92878004542228e-13","3.04204215140198","5.62666041148889"
"NZW/LacJfluoxetine - 129S1/SvImJfluoxetine","4.26362386227612","3.24809050179591e-15","3.09691323315976","5.43033449139249","1.94404016694096e-12","2.97131473223267","5.55593299231958"
"P/Jcontrol - 129S1/SvImJfluoxetine","4.72837939184293","0","3.56166876272657","5.89509002095929","1.15593809034502e-14","3.43607026179947","6.02068852188639"
"P/Jfluoxetine - 129S1/SvImJfluoxetine","3.75286175226715","2.38998010571334e-13","2.64842121837019","4.85730228616411","9.22339056981987e-11","2.51789111953101","4.98783238500329"
"PL/Jcontrol - 129S1/SvImJfluoxetine","4.27413847429087","0","3.19397432323666","5.35430262534508","1.13644033942353e-13","3.06134552795406","5.48693142062768"
"PL/Jfluoxetine - 129S1/SvImJfluoxetine","4.01317232318461","0","2.9330081721304","5.09333647423881","2.25647087222177e-12","2.80037937684779","5.22596526952142"
"RIIIS/Jcontrol - 129S1/SvImJfluoxetine","4.25171275833339","6.33901533415009e-15","3.08500212921703","5.41842338744976","2.17356567527136e-12","2.95940362828994","5.54402188837685"
"RIIIS/Jfluoxetine - 129S1/SvImJfluoxetine","4.38387836754772","0","3.30371421649351","5.46404251860193","3.02322269782543e-14","3.1710854212109","5.59667131388453"
"SJL/Jcontrol - 129S1/SvImJfluoxetine","4.75177690785409","0","3.64733637395713","5.85621744175104","0","3.51680627511795","5.98674754059023"
"SJL/Jfluoxetine - 129S1/SvImJfluoxetine","2.05802899318741","0.0000874525513096244","0.953588459290449","3.16246952708437","0.000489686757743494","0.823058360451267","3.29299962592355"
"SM/Jcontrol - 129S1/SvImJfluoxetine","4.26156920943834","2.932977244159e-14","3.05390897513056","5.46922944374612","6.75363764912618e-12","2.93123379283028","5.59190462604641"
"SM/Jfluoxetine - 129S1/SvImJfluoxetine","3.06434893077918","1.90661209803413e-8","1.89763830166281","4.23105955989554","4.35628672581849e-7","1.77203980073572","4.35665806082264"
"SWR/Jcontrol - 129S1/SvImJfluoxetine","4.5601967468049","0","3.48003259575069","5.64036089785911","0","3.34740380046809","5.77298969314171"
"SWR/Jfluoxetine - 129S1/SvImJfluoxetine","4.69155606084192","0","3.61139190978771","5.77172021189613","0","3.4787631145051","5.90434900717873"
"A/Jfluoxetine - A/Jcontrol","0.2311827177476","0.729236195440607","-0.79355097151044","1.25591640700564","0.772616225808971","-0.931388235154894","1.3937536706501"
"AKR/Jcontrol - A/Jcontrol","4.40039293535357","0","3.23368230623721","5.56710356446994","4.25770529943748e-13","3.10808380531012","5.69270206539703"
"AKR/Jfluoxetine - A/Jcontrol","4.26999494187586","3.24809050179591e-15","3.10328431275949","5.43670557099222","1.82217877150751e-12","2.9776858118324","5.56230407191931"
"BALB/cJcontrol - A/Jcontrol","2.27156803051508","0.0000397492109328652","1.10485740139871","3.43827865963144","0.000226672795950604","0.979258900471621","3.56387716055854"
"BALB/cJfluoxetine - A/Jcontrol","2.37540373398333","0.00000501001748016313","1.27096320008637","3.47984426788029","0.0000495282302975049","1.14043310124719","3.61037436671947"
"BTBR T+ tf/Jcontrol - A/Jcontrol","4.05595598492112","6.73746772658238e-14","2.88924535580476","5.22266661403748","1.89059713158489e-11","2.76364685487766","5.34826511496458"
"BTBR T+ tf/Jfluoxetine - A/Jcontrol","3.78415903761758","4.30312719763473e-14","2.70399488656337","4.86432318867179","3.209846014289e-11","2.57136609128077","4.99695198395439"
"BUB/BnJcontrol - A/Jcontrol","4.97056768201335","0","3.76290744770557","6.17822791632113","0","3.64023226540528","6.30090309862142"
"BUB/BnJfluoxetine - A/Jcontrol","5.34819790362447","0","4.1814872745081","6.51490853274083","0","4.05588877358101","6.64050703366793"
"C3H/HeJcontrol - A/Jcontrol","4.30824130672478","0","3.28350761746674","5.33297499598282","1.15593809034502e-14","3.14567035382228","5.47081225962727"
"C3H/HeJfluoxetine - A/Jcontrol","4.3127113240777","0","3.28797763481966","5.33744501333574","1.15593809034502e-14","3.1501403711752","5.47528227698019"
"C57BL/6Jcontrol - A/Jcontrol","4.47119490131182","0","3.39103075025761","5.55135905236603","1.15593809034502e-14","3.25840195497501","5.68398784764863"
"C57BL/6Jfluoxetine - A/Jcontrol","4.33224009722086","0","3.1655294681045","5.49895072633723","8.98329030210984e-13","3.0399309671774","5.62454922726432"
"C57BLKS/Jcontrol - A/Jcontrol","3.58785832172861","9.20098353335728e-12","2.45497260262676","4.72074404083047","1.21928234175783e-9","2.32677247875399","4.84894416470324"
"C57BLKS/Jfluoxetine - A/Jcontrol","3.46932099648672","4.59832172339247e-12","2.38915684543251","4.54948514754093","1.12126576367537e-9","2.25652805014991","4.68211394282353"
"C57BR/cdJcontrol - A/Jcontrol","5.70600865930888","0","4.68127497005084","6.73074234856692","0","4.54343770640639","6.86857961221138"
"C57BR/cdJfluoxetine - A/Jcontrol","5.40088596480348","0","4.32072181374927","6.48105011585769","0","4.18809301846666","6.61367891114029"
"C58/Jcontrol - A/Jcontrol","5.090921580215","0","3.92421095109864","6.25763220933137","0","3.79861245017154","6.38323071025846"
"C58/Jfluoxetine - A/Jcontrol","4.85090168416337","0","3.684191055047","6.01761231327973","0","3.55859255411991","6.14321081420682"
"CBA/Jcontrol - A/Jcontrol","4.27466837207701","0","3.24993468281897","5.29940206133505","1.70877804659698e-14","3.11209741917452","5.43723932497951"
"CBA/Jfluoxetine - A/Jcontrol","4.51165384313099","0","3.47078162262501","5.55252606363696","0","3.33452385053161","5.68878383573036"
"CE/Jcontrol - A/Jcontrol","4.53750608392446","0","3.3707954548081","5.70421671304083","9.10653666296195e-14","3.24519695388101","5.82981521396792"
"CE/Jfluoxetine - A/Jcontrol","4.71920365589316","0","3.63903950483895","5.79936780694737","0","3.50641070955635","5.93199660222998"
"DBA/2Jcontrol - A/Jcontrol","3.28297635913544","7.1668161601391e-13","2.29692590690076","4.26902681137012","7.69934074302055e-10","2.15507400685097","4.41087871141992"
"DBA/2Jfluoxetine - A/Jcontrol","2.50984773654456","7.792750742265e-8","1.5122641383455","3.50743133474363","0.00000332863420629239","1.37164423187805","3.64805124121108"
"FVB/NJcontrol - A/Jcontrol","5.26111772666528","0","4.09440709754892","6.42782835578165","0","3.96880859662182","6.55342685670874"
"FVB/NJfluoxetine - A/Jcontrol","5.02022761736344","0","3.85351698824708","6.18693824647981","0","3.72791848731998","6.3125367474069"
"I/LnJcontrol - A/Jcontrol","4.23393902163574","0","3.12949848773878","5.33837955553269","3.88881909130807e-13","2.9989683888996","5.46890965437187"
"I/LnJfluoxetine - A/Jcontrol","3.42893659316775","1.0738051861833e-9","2.22127635885997","4.63659682747553","3.453580183236e-8","2.09860117655968","4.75927200977582"
"LG/Jcontrol - A/Jcontrol","4.50907445830274","0","3.40463392440578","5.6135149921997","1.15593809034502e-14","3.2741038255666","5.74404509103888"
"LG/Jfluoxetine - A/Jcontrol","2.9882177461699","4.38851165933323e-8","1.82150711705353","4.15492837528626","8.5683145726038e-7","1.69590861612644","4.28052687621336"
"LP/Jcontrol - A/Jcontrol","3.51168255717247","9.46629811574932e-11","2.3449719280561","4.67839318628883","6.19560100897339e-9","2.21937342712901","4.80399168721592"
"LP/Jfluoxetine - A/Jcontrol","2.43785415054367","9.61696539070189e-8","1.46223838830746","3.41346991277988","0.00000441884220542498","1.31924503861449","3.55646326247285"
"MA/MyJcontrol - A/Jcontrol","5.19172965780188","0","4.02501902868552","6.35844028691825","0","3.89942052775843","6.48403878784534"
"MA/MyJfluoxetine - A/Jcontrol","4.31898595969812","0","3.15227533058176","5.48569658881449","1.02621614909519e-12","3.02667682965466","5.61129508974158"
"MRL/MpJcontrol - A/Jcontrol","4.93462379166241","0","3.83018325776545","6.03906432555937","0","3.69965315892627","6.16959442439855"
"MRL/MpJfluoxetine - A/Jcontrol","4.29608434758132","1.81393361869526e-14","3.08842411327354","5.50374458188911","4.60119747181236e-12","2.96574893097326","5.62641976418939"
"NOD/ShiLtJcontrol - A/Jcontrol","5.47841674238239","0","4.37397620848544","6.58285727627935","0","4.24344610964626","6.71338737511853"
"NOD/ShiLtJfluoxetine - A/Jcontrol","5.33372046573793","0","4.22927993184097","6.43816099963489","0","4.09874983300179","6.56869109847407"
"NOR/LtJcontrol - A/Jcontrol","5.33065551343152","0","4.12299527912374","6.53831574773931","0","4.00032009682346","6.66099093003959"
"NOR/LtJfluoxetine - A/Jcontrol","5.41658140408463","0","4.37570918357866","6.45745362459061","0","4.23945141148526","6.59371139668401"
"NZB/BlNJcontrol - A/Jcontrol","3.38516294119835","4.22066213396757e-11","2.28072240730139","4.48960347509531","5.05943178191066e-9","2.15019230846221","4.62013357393449"
"NZB/BlNJfluoxetine - A/Jcontrol","2.26710776797704","0.0000139301774265006","1.16266723408008","3.37154830187399","0.000114489457953601","1.0321371352409","3.50207840071318"
"NZW/LacJcontrol - A/Jcontrol","4.53862654258443","0","3.37191591346807","5.7053371717008","9.10653666296195e-14","3.24631741254097","5.83093567262789"
"NZW/LacJfluoxetine - A/Jcontrol","4.46789912341512","0","3.30118849429875","5.63460975253148","2.03133390258383e-13","3.17558999337166","5.76020825345858"
"P/Jcontrol - A/Jcontrol","4.93265465298193","0","3.76594402386556","6.09936528209829","0","3.64034552293847","6.22496378302538"
"P/Jfluoxetine - A/Jcontrol","3.95713701340615","1.22818422099158e-14","2.85269647950919","5.06157754730311","9.01810925676918e-12","2.72216638067001","5.19210764614229"
"PL/Jcontrol - A/Jcontrol","4.47841373542987","0","3.39824958437566","5.55857788648408","1.15593809034502e-14","3.26562078909306","5.69120668176668"
"PL/Jfluoxetine - A/Jcontrol","4.2174475843236","0","3.13728343326939","5.29761173537781","2.15944478416102e-13","3.00465463798679","5.43024053066041"
"RIIIS/Jcontrol - A/Jcontrol","4.45598801947239","0","3.28927739035602","5.62269864858875","2.22141146057607e-13","3.16367888942893","5.74829714951585"
